table_name,column_name,column_type
users,id,num
users,name,string
users,email,string
users,password,string
users,is_admin,boolean
users,preferences,string
users,remember_token,string
users,created_at,date
users,updated_at,date
password_resets,email,string
password_resets,token,string
password_resets,created_at,date
artists,id,num
artists,name,string
artists,image,string
artists,created_at,date
artists,updated_at,date
albums,id,num
albums,artist_id,num
albums,name,string
albums,cover,string
albums,created_at,date
albums,updated_at,date
songs,id,string
songs,album_id,num
songs,artist_id,num
songs,title,string
songs,length,num
songs,track,num
songs,disc,num
songs,lyrics,string
songs,path,string
songs,mtime,num
songs,created_at,date
songs,updated_at,date
playlists,id,num
playlists,user_id,num
playlists,name,string
playlists,rules,string
playlists,created_at,date
playlists,updated_at,date
playlists,folder_id,string
interactions,id,num
interactions,user_id,num
interactions,song_id,string
interactions,liked,boolean
interactions,play_count,num
interactions,created_at,date
interactions,updated_at,date
playlist_song,id,num
playlist_song,playlist_id,num
playlist_song,song_id,string
settings,value,string
personal_access_tokens,id,num
personal_access_tokens,tokenable_id,num
personal_access_tokens,tokenable_type,string
personal_access_tokens,name,string
personal_access_tokens,token,string
personal_access_tokens,abilities,string
personal_access_tokens,last_used_at,date
personal_access_tokens,created_at,date
personal_access_tokens,updated_at,date
playlist_folders,id,string
playlist_folders,name,string
playlist_folders,user_id,num
playlist_folders,created_at,date
playlist_folders,updated_at,date
