table_name,column_name,column_type
biwords,lid,num
biwords,occurrences,num
biwords,w1st,num
biwords,w2nd,num
langs,lang,string
langs,lid,num
langs,locale,string
langs,pages,num
langs,words,num
langs_words,lid,num
langs_words,occurrences,num
langs_words,wid,num
pages,lid,num
pages,page,num
pages,pid,num
pages,revision,num
pages,title,string
pages,words,num
pages_words,occurrences,num
pages_words,pid,num
pages_words,wid,num
words,occurrences,num
words,wid,num
words,word,string
