table_name,column_name,column_type
larametrics_logs,id,num
larametrics_logs,level,string
larametrics_logs,message,string
larametrics_logs,user_id,num
larametrics_logs,email,string
larametrics_logs,trace,string
larametrics_logs,created_at,date
larametrics_logs,updated_at,date
larametrics_models,id,num
larametrics_models,model,string
larametrics_models,model_id,num
larametrics_models,user_id,num
larametrics_models,method,string
larametrics_models,original,string
larametrics_models,changes,string
larametrics_models,created_at,date
larametrics_models,updated_at,date
larametrics_notifications,id,num
larametrics_notifications,action,string
larametrics_notifications,filter,string
larametrics_notifications,meta,string
larametrics_notifications,notify_by,string
larametrics_notifications,last_fired_at,date
larametrics_notifications,created_at,date
larametrics_notifications,updated_at,date
larametrics_requests,id,num
larametrics_requests,method,string
larametrics_requests,uri,string
larametrics_requests,ip,string
larametrics_requests,headers,string
larametrics_requests,start_time,num
larametrics_requests,end_time,num
larametrics_requests,created_at,date
larametrics_requests,updated_at,date
users,id,num
