table_name,column_name,column_type
permission_role,permission_id,num
permission_role,role_id,num
permission_user,permission_id,num
permission_user,user_id,num
permission_user,user_type,string
permissions,id,num
permissions,name,string
permissions,display_name,string
permissions,description,string
permissions,created_at,date
permissions,updated_at,date
role_user,role_id,num
role_user,user_id,num
role_user,user_type,string
roles,id,num
roles,name,string
roles,display_name,string
roles,description,string
roles,created_at,date
roles,updated_at,date
users,id,num
