table_name,column_name,column_type
announcements,id,string
announcements,user_id,num
announcements,body,string
announcements,action_text,string
announcements,action_url,string
announcements,created_at,date
announcements,updated_at,date
api_tokens,id,num
api_tokens,user_id,num
api_tokens,name,string
api_tokens,token,num
api_tokens,metadata,string
api_tokens,transient,num
api_tokens,last_used_at,date
api_tokens,expires_at,date
api_tokens,created_at,date
api_tokens,updated_at,date
invitations,id,string
invitations,team_id,num
invitations,user_id,num
invitations,role,string
invitations,email,string
invitations,token,string
invitations,created_at,date
invitations,updated_at,date
invoices,id,num
invoices,user_id,num
invoices,team_id,num
invoices,provider_id,string
invoices,total,num
invoices,tax,num
invoices,card_country,string
invoices,billing_state,string
invoices,billing_zip,string
invoices,billing_country,string
invoices,vat_id,string
invoices,created_at,date
invoices,updated_at,date
notifications,id,string
notifications,user_id,num
notifications,created_at,num
notifications,icon,string
notifications,body,string
notifications,action_text,string
notifications,action_url,string
notifications,read,num
notifications,created_at,date
notifications,updated_at,date
password_resets,email,string
password_resets,token,string
password_resets,created_at,date
performance_indicators,id,num
performance_indicators,monthly_recurring_revenue,num
performance_indicators,yearly_recurring_revenue,num
performance_indicators,daily_colume,num
performance_indicators,new_users,num
performance_indicators,created_at,date
performance_indicators,updated_at,date
subscriptions,id,num
subscriptions,user_id,num
subscriptions,name,string
subscriptions,stipe_id,string
subscriptions,stripe_plan,string
subscriptions,stripe_status,string
subscriptions,quantity,num
subscriptions,trial_ends_at,date
subscriptions,ends_at,date
subscriptions,created_at,date
subscriptions,updated_at,date
team_subscriptions,id,num
team_subscriptions,team_id,num
team_subscriptions,name,string
team_subscriptions,stripe_id,string
team_subscriptions,stripe_plan,string
team_subscriptions,stripe_status,string
team_subscriptions,quantity,num
team_subscriptions,trial_ends_at,date
team_subscriptions,ends_at,date
team_subscriptions,created_at,date
team_subscriptions,updated_at,date
team_users,team_id,num
team_users,user_id,num
team_users,role,string
teams,id,num
teams,owner_id,num
teams,name,string
teams,slug,string
teams,photo_url,string
teams,stripe_id,string
teams,current_billing_plan,string
teams,card_brand,string
teams,card_last_four,string
teams,card_country,string
teams,billing_address,string
teams,billing_address_line_2,string
teams,billing_city,string
teams,billing_state,string
teams,billing_zip,string
teams,billing_country,string
teams,vat_id,string
teams,extra_billing_information,string
teams,trial_ends_at,date
teams,created_at,date
teams,updated_at,date
users,id,num
users,name,string
users,email,string
users,email_verified_at,date
users,password,string
users,remember_token,string
users,photo_url,string
users,uses_two_factor_auth,num
users,authy_id,string
users,country_code,string
users,phone,string
users,stripe_id,string
users,two_factor_reset_code,string
users,current_team_id,num
users,current_billing_plan,string
users,card_brand,string
users,card_last_four,string
users,card_country,string
users,billing_address,string
users,billing_address_line_2,string
users,billing_city,string
users,billing_state,string
users,billing_zip,string
users,billing_country,string
users,vat_id,string
users,extra_billing_information,string
users,trial_ends_at,date
users,last_read_announcements_at,date
users,created_at,date
users,updated_at,date
