table_name,column_name,column_type
failed_jobs,id,num
failed_jobs,connection,string
failed_jobs,queue,string
failed_jobs,payload,string
failed_jobs,exception,string
failed_jobs,failed_at,date
likes,id,num
likes,user_id,num
likes,likeable_id,num
likes,likeable_type,string
likes,created_at,date
likes,updated_at,date
migrations,id,num
migrations,migration,string
migrations,batch,num
notifications,id,string
notifications,type,string
notifications,notifiable_type,string
notifications,notifiable_id,num
notifications,data,string
notifications,read_at,date
notifications,created_at,date
notifications,updated_at,date
password_resets,email,string
password_resets,token,string
password_resets,created_at,date
replies,id,num
replies,body,string
replies,author_id,num
replies,replyable_id,num
replies,created_at,date
replies,updated_at,date
replies,replyable_type,string
subscriptions,uuid,string
subscriptions,user_id,num
subscriptions,subscriptionable_id,num
subscriptions,subscriptionable_type,string
subscriptions,created_at,date
subscriptions,updated_at,date
taggables,id,num
taggables,taggable_id,num
taggables,tag_id,num
taggables,created_at,date
taggables,updated_at,date
taggables,taggable_type,string
tags,id,num
tags,name,string
tags,slug,string
threads,id,num
threads,author_id,num
threads,subject,string
threads,body,string
threads,slug,string
threads,created_at,date
threads,updated_at,date
threads,solution_reply_id,num
users,id,num
users,github_id,string
users,github_username,string
users,email,string
users,name,string
users,created_at,date
users,updated_at,date
users,remember_token,string
users,confirmed,num
users,confirmation_code,string
users,username,string
users,password,string
users,type,num
users,bio,string
users,banned_at,date
