table_name,column_name,column_type
current,ballotpedia_id,string
current,bioguide_id,string
current,birthday_bio,date
current,cspan_id,string
current,fec_id,string
current,first_name,string
current,gender_bio,boolean
current,google_entity_id_id,string
current,govtrack_id,num
current,house_history_id,num
current,icpsr_id,num
current,last_name,string
current,lis_id,string
current,maplight_id,num
current,middle_name,string
current,nickname_name,string
current,official_full_name,string
current,opensecrets_id,string
current,religion_bio,string
current,suffix_name,string
current,thomas_id,num
current,votesmart_id,num
current,wikidata_id,string
current,wikipedia_id,string
current-terms,address,string
current-terms,bioguide,string
current-terms,caucus,string
current-terms,chamber,string
current-terms,class,num
current-terms,contact_form,string
current-terms,district,num
current-terms,end,date
current-terms,fax,num
current-terms,last,string
current-terms,name,string
current-terms,office,string
current-terms,party,string
current-terms,party_affiliations,string
current-terms,phone,num
current-terms,relation,string
current-terms,rss_url,string
current-terms,start,date
current-terms,state,string
current-terms,state_rank,string
current-terms,title,string
current-terms,type,string
current-terms,url,string
historical,ballotpedia_id,string
historical,bioguide_id,string
historical,bioguide_previous_id,string
historical,birthday_bio,date
historical,cspan_id,string
historical,fec_id,string
historical,first_name,string
historical,gender_bio,boolean
historical,google_entity_id_id,string
historical,govtrack_id,num
historical,house_history_alternate_id,string
historical,house_history_id,num
historical,icpsr_id,num
historical,last_name,string
historical,lis_id,string
historical,maplight_id,string
historical,middle_name,string
historical,nickname_name,string
historical,official_full_name,string
historical,opensecrets_id,string
historical,religion_bio,string
historical,suffix_name,string
historical,thomas_id,string
historical,votesmart_id,string
historical,wikidata_id,string
historical,wikipedia_id,string
historical-terms,address,string
historical-terms,bioguide,string
historical-terms,caucus,string
historical-terms,chamber,string
historical-terms,class,num
historical-terms,contact_form,string
historical-terms,district,num
historical-terms,end,date
historical-terms,fax,num
historical-terms,last,string
historical-terms,middle,string
historical-terms,name,string
historical-terms,office,string
historical-terms,party,string
historical-terms,party_affiliations,string
historical-terms,phone,num
historical-terms,relation,string
historical-terms,rss_url,string
historical-terms,start,date
historical-terms,state,string
historical-terms,state_rank,string
historical-terms,title,string
historical-terms,type,string
historical-terms,url,string
social-media,bioguide,string
social-media,facebook,string
social-media,facebook_id,num
social-media,govtrack,num
social-media,instagram,string
social-media,instagram_id,string
social-media,thomas,string
social-media,twitter,string
social-media,twitter_id,string
social-media,youtube,string
social-media,youtube_id,string
