table_name,column_name,column_type
ar_internal_metadata,value,string
ar_internal_metadata,created_at,date
ar_internal_metadata,updated_at,date
comments,id,num
comments,created_at,date
comments,updated_at,date
comments,short_id,string
comments,story_id,num
comments,user_id,num
comments,parent_comment_id,num
comments,thread_id,num
comments,comment,string
comments,upvotes,num
comments,downvotes,num
comments,confidence,num
comments,markeddown_comment,string
comments,is_deleted,num
comments,is_moderated,num
comments,is_from_email,num
comments,hat_id,num
domains,id,num
domains,domain,string
domains,is_tracker,num
domains,created_at,date
domains,updated_at,date
domains,banned_at,date
domains,banned_by_user_id,num
domains,banned_reason,string
hat_requests,id,num
hat_requests,created_at,date
hat_requests,updated_at,date
hat_requests,user_id,num
hat_requests,hat,string
hat_requests,link,string
hat_requests,comment,string
hats,id,num
hats,created_at,date
hats,updated_at,date
hats,user_id,num
hats,granted_by_user_id,num
hats,hat,string
hats,link,string
hats,modlog_use,num
hats,doffed_at,date
hidden_stories,id,num
hidden_stories,user_id,num
hidden_stories,story_id,num
invitation_requests,id,num
invitation_requests,code,string
invitation_requests,is_verified,num
invitation_requests,email,string
invitation_requests,name,string
invitation_requests,memo,string
invitation_requests,ip_address,string
invitation_requests,created_at,date
invitation_requests,updated_at,date
invitations,id,num
invitations,user_id,num
invitations,email,string
invitations,code,string
invitations,created_at,date
invitations,updated_at,date
invitations,memo,string
invitations,used_at,date
invitations,new_user_id,num
keystores,value,num
messages,id,num
messages,created_at,date
messages,author_user_id,num
messages,recipient_user_id,num
messages,has_been_read,num
messages,subject,string
messages,body,string
messages,short_id,string
messages,deleted_by_author,num
messages,deleted_by_recipient,num
messages,hat_id,num
mod_notes,id,num
mod_notes,moderator_user_id,num
mod_notes,user_id,num
mod_notes,note,string
mod_notes,markeddown_note,string
mod_notes,created_at,date
moderations,id,num
moderations,created_at,date
moderations,updated_at,date
moderations,moderator_user_id,num
moderations,story_id,num
moderations,comment_id,num
moderations,user_id,num
moderations,action,string
moderations,reason,string
moderations,is_from_suggestions,num
moderations,tag_id,num
moderations,domain_id,num
read_ribbons,id,num
read_ribbons,is_following,num
read_ribbons,created_at,date
read_ribbons,updated_at,date
read_ribbons,user_id,num
read_ribbons,story_id,num
saved_stories,id,num
saved_stories,created_at,date
saved_stories,updated_at,date
saved_stories,user_id,num
saved_stories,story_id,num
schema_migrations,version,string
stories,id,num
stories,created_at,date
stories,user_id,num
stories,url,string
stories,title,string
stories,description,string
stories,short_id,string
stories,is_expired,num
stories,upvotes,num
stories,downvotes,num
stories,is_moderated,num
stories,hotness,num
stories,markeddown_description,string
stories,story_cache,string
stories,comments_count,num
stories,merged_story_id,num
stories,unavailable_at,date
stories,twitter_id,string
stories,user_is_author,num
stories,user_is_following,num
stories,domain_id,num
suggested_taggings,id,num
suggested_taggings,story_id,num
suggested_taggings,tag_id,num
suggested_taggings,user_id,num
suggested_titles,id,num
suggested_titles,story_id,num
suggested_titles,user_id,num
suggested_titles,title,string
tag_filters,id,num
tag_filters,created_at,date
tag_filters,updated_at,date
tag_filters,user_id,num
tag_filters,tag_id,num
taggings,id,num
taggings,story_id,num
taggings,tag_id,num
tags,id,num
tags,tag,string
tags,description,string
tags,privileged,num
tags,is_media,num
tags,inactive,num
tags,hotness_mod,num
tags,permit_by_new_users,num
users,id,num
users,username,string
users,email,string
users,password_digest,string
users,created_at,date
users,is_admin,num
users,password_reset_token,string
users,session_token,string
users,about,string
users,invited_by_user_id,num
users,is_moderator,num
users,pushover_mentions,num
users,rss_token,string
users,mailing_list_token,string
users,mailing_list_mode,num
users,karma,num
users,banned_at,date
users,banned_by_user_id,num
users,banned_reason,string
users,deleted_at,date
users,disabled_invite_at,date
users,disabled_invite_by_user_id,num
users,disabled_invite_reason,string
users,settings,string
votes,id,num
votes,user_id,num
votes,story_id,num
votes,comment_id,num
votes,vote,num
votes,reason,string
votes,updated_at,date
replying_comments,user_id,num
replying_comments,comment_id,num
replying_comments,story_id,num
replying_comments,parent_comment_id,num
replying_comments,comment_created_at,date
replying_comments,parent_comment_author_id,num
replying_comments,comment_author_id,num
replying_comments,story_author_id,num
replying_comments,is_unread,num
replying_comments,current_vote_vote,num
replying_comments,current_vote_reason,string
