table_name,column_name,column_type
Customer_Event_Notes,Customer_Event_Note_ID,num
Customer_Event_Notes,Customer_Event_ID,num
Customer_Event_Notes,service_type_code,string
Customer_Event_Notes,resident_id,num
Customer_Event_Notes,property_id,num
Customer_Event_Notes,date_moved_in,date
Customer_Events,Customer_Event_ID,num
Customer_Events,customer_id,num
Customer_Events,date_moved_in,date
Customer_Events,property_id,num
Customer_Events,resident_id,num
Customer_Events,thing_id,num
Customers,customer_id,num
Customers,customer_details,string
Organizations,organization_id,num
Organizations,parent_organization_id,num
Organizations,organization_details,string
Properties,property_id,num
Properties,property_type_code,string
Properties,property_address,string
Properties,other_details,string
Residents,resident_id,num
Residents,property_id,num
Residents,date_moved_in,date
Residents,date_moved_out,date
Residents,other_details,string
Residents_Services,resident_id,num
Residents_Services,service_id,num
Residents_Services,date_moved_in,date
Residents_Services,property_id,num
Residents_Services,date_requested,date
Residents_Services,date_provided,date
Residents_Services,other_details,string
Services,service_id,num
Services,organization_id,num
Services,service_type_code,string
Services,service_details,string
Things,thing_id,num
Things,organization_id,num
Things,Type_of_Thing_Code,string
Things,service_type_code,string
Things,service_details,string
Timed_Locations_of_Things,thing_id,num
Timed_Locations_of_Things,Date_and_Time,date
Timed_Locations_of_Things,Location_Code,string
Timed_Status_of_Things,thing_id,num
Timed_Status_of_Things,Date_and_Date,date
Timed_Status_of_Things,Status_of_Thing_Code,string
