table_name,column_name,column_type
Benefits_Overpayments,council_tax_id,num
Benefits_Overpayments,cmi_cross_ref_id,num
Business_Rates,business_rates_id,num
Business_Rates,cmi_cross_ref_id,num
CMI_Cross_References,cmi_cross_ref_id,num
CMI_Cross_References,master_customer_id,num
CMI_Cross_References,source_system_code,string
Council_Tax,council_tax_id,num
Council_Tax,cmi_cross_ref_id,num
Customer_Master_Index,master_customer_id,num
Customer_Master_Index,cmi_details,string
Electoral_Register,electoral_register_id,num
Electoral_Register,cmi_cross_ref_id,num
Parking_Fines,council_tax_id,num
Parking_Fines,cmi_cross_ref_id,num
Rent_Arrears,council_tax_id,num
Rent_Arrears,cmi_cross_ref_id,num
