table_name,column_name,column_type
love_reactant_reaction_counters,id,num
love_reactant_reaction_counters,reactant_id,num
love_reactant_reaction_counters,reaction_type_id,num
love_reactant_reaction_counters,count,num
love_reactant_reaction_counters,weight,num
love_reactant_reaction_counters,created_at,date
love_reactant_reaction_counters,updated_at,date
love_reactant_reaction_totals,id,num
love_reactant_reaction_totals,reactant_id,num
love_reactant_reaction_totals,count,num
love_reactant_reaction_totals,weight,num
love_reactant_reaction_totals,created_at,date
love_reactant_reaction_totals,updated_at,date
love_reactants,id,num
love_reactants,type,string
love_reactants,created_at,date
love_reactants,updated_at,date
love_reacters,id,num
love_reacters,type,string
love_reacters,created_at,date
love_reacters,updated_at,date
love_reaction_types,id,num
love_reaction_types,name,string
love_reaction_types,mass,num
love_reaction_types,created_at,date
love_reaction_types,updated_at,date
love_reactions,id,num
love_reactions,reactant_id,num
love_reactions,reacter_id,num
love_reactions,reaction_type_id,num
love_reactions,rate,num
love_reactions,created_at,date
love_reactions,updated_at,date
