table_name,column_name,column_type
machine,Machine_ID,num
machine,Making_Year,num
machine,Class,string
machine,Team,string
machine,Machine_series,string
machine,value_points,num
machine,quality_rank,num
repair,repair_ID,num
repair,name,string
repair,Launch_Date,string
repair,Notes,string
repair_assignment,technician_id,num
repair_assignment,repair_ID,num
repair_assignment,Machine_ID,num
technician,technician_id,num
technician,Name,string
technician,Team,string
technician,Starting_Year,num
technician,Age,num
