table_name,column_name,column_type
country,Country_id,num
country,Country_name,string
country,Capital,string
country,Official_native_language,string
match_season,Season,num
match_season,Player,string
match_season,Position,string
match_season,Country,num
match_season,Team,num
match_season,Draft_Pick_Number,num
match_season,Draft_Class,string
match_season,College,string
player,Player_ID,num
player,Player,string
player,Years_Played,string
player,Total_WL,string
player,Singles_WL,string
player,Doubles_WL,string
player,Team,num
team,Team_id,num
team,Name,string
