table_name,column_name,column_type
Dish,description,string
Dish,first_appeared,num
Dish,highest_price,num
Dish,id,num
Dish,last_appeared,num
Dish,lowest_price,num
Dish,menus_appeared,num
Dish,name,string
Dish,times_appeared,num
Menu,call_number,string
Menu,currency,string
Menu,currency_symbol,string
Menu,date,date
Menu,dish_count,num
Menu,event,string
Menu,id,num
Menu,keywords,string
Menu,language,string
Menu,location,string
Menu,location_type,string
Menu,name,string
Menu,notes,string
Menu,occasion,string
Menu,page_count,num
Menu,physical_description,string
Menu,place,string
Menu,sponsor,string
Menu,status,string
Menu,venue,string
MenuItem,created_at,date
MenuItem,dish_id,num
MenuItem,high_price,num
MenuItem,id,num
MenuItem,menu_page_id,num
MenuItem,price,num
MenuItem,updated_at,date
MenuItem,xpos,num
MenuItem,ypos,num
MenuPage,full_height,num
MenuPage,full_width,num
MenuPage,id,num
MenuPage,image_id,num
MenuPage,menu_id,num
MenuPage,page_number,num
MenuPage,uuid,num
