table_name,column_name,column_type
threads,id,num
threads,subject,string
threads,created_at,date
threads,updated_at,date
threads,deleted_at,date
messages,id,num
messages,thread_id,num
messages,user_id,num
messages,body,string
messages,created_at,date
messages,deleted_at,date
messages,updated_at,date
participants,id,num
participants,thread_id,num
participants,user_id,num
participants,last_read,date
participants,created_at,date
participants,updated_at,date
participants,deleted_at,date
users,id,num
