table_name,column_name,column_types
pizza_names,pizza_id,num
pizza_names,pizza_name,string
companies_funding,company_id,num
companies_funding,valuation,num
companies_funding,funding,num
companies_funding,select_investors,string
pizza_customer_orders,order_id,num
pizza_customer_orders,customer_id,num
pizza_customer_orders,pizza_id,num
pizza_customer_orders,exclusions,string
pizza_customer_orders,extras,string
pizza_customer_orders,order_time,string
pizza_toppings,topping_id,num
pizza_toppings,topping_name,string
trees,idx,num
trees,tree_id,num
trees,tree_dbh,num
trees,stump_diam,num
trees,status,string
trees,health,string
trees,spc_latin,string
trees,spc_common,string
trees,address,string
trees,zipcode,num
trees,borocode,num
trees,boroname,string
trees,nta_name,string
trees,state,string
trees,latitude,num
trees,longitude,num
pizza_recipes,pizza_id,num
pizza_recipes,toppings,string
statistics,date,string
statistics,state,string
statistics,total_cases,num
statistics,total_deaths,num
income_trees,zipcode,num
income_trees,Estimate_Total,num
income_trees,Margin_of_Error_Total,num
income_trees,Estimate_Median_income,num
income_trees,Margin_of_Error_Median_income,num
income_trees,Estimate_Mean_income,num
income_trees,Margin_of_Error_Mean_income,num
pizza_clean_runner_orders,order_id,num
pizza_clean_runner_orders,runner_id,num
pizza_clean_runner_orders,pickup_time,string
pizza_clean_runner_orders,distance,num
pizza_clean_runner_orders,duration,num
pizza_clean_runner_orders,cancellation,string
pizza_runner_orders,order_id,num
pizza_runner_orders,runner_id,num
pizza_runner_orders,pickup_time,string
pizza_runner_orders,distance,string
pizza_runner_orders,duration,string
pizza_runner_orders,cancellation,string
word_list,words,string
companies_dates,company_id,num
companies_dates,date_joined,string
companies_dates,year_founded,num
pizza_get_extras,row_id,num
pizza_get_extras,order_id,num
pizza_get_extras,extras,num
pizza_get_extras,extras_count,num
pizza_get_exclusions,row_id,num
pizza_get_exclusions,order_id,num
pizza_get_exclusions,exclusions,num
pizza_get_exclusions,total_exclusions,num
pizza_clean_customer_orders,order_id,num
pizza_clean_customer_orders,customer_id,num
pizza_clean_customer_orders,pizza_id,num
pizza_clean_customer_orders,exclusions,string
pizza_clean_customer_orders,extras,string
pizza_clean_customer_orders,order_time,string
companies_industries,company_id,num
companies_industries,industry,string
pizza_runners,runner_id,num
pizza_runners,registration_date,string
