table_name,column_name,column_type
borders,Country1,string
borders,Country2,string
borders,Length,num
city,Country,string
city,Latitude,num
city,Longitude,num
city,Name,string
city,Population,num
city,Province,string
continent,Area,num
continent,Name,string
country,Area,num
country,Capital,string
country,Code,string
country,Name,string
country,Population,num
country,Province,string
desert,Area,num
desert,Latitude,num
desert,Longitude,num
desert,Name,string
economy,Agriculture,num
economy,Country,string
economy,GDP,num
economy,Industry,num
economy,Inflation,num
economy,Service,num
encompasses,Continent,string
encompasses,Country,string
encompasses,Percentage,num
ethnicGroup,Country,string
ethnicGroup,Name,string
ethnicGroup,Percentage,num
geo_desert,Country,string
geo_desert,Desert,string
geo_desert,Province,string
geo_estuary,Country,string
geo_estuary,Province,string
geo_estuary,River,string
geo_island,Country,string
geo_island,Island,string
geo_island,Province,string
geo_lake,Country,string
geo_lake,Lake,string
geo_lake,Province,string
geo_mountain,Country,string
geo_mountain,Mountain,string
geo_mountain,Province,string
geo_river,Country,string
geo_river,Province,string
geo_river,River,string
geo_sea,Country,string
geo_sea,Province,string
geo_sea,Sea,string
geo_source,Country,string
geo_source,Province,string
geo_source,River,string
isMember,Country,string
isMember,Organization,string
isMember,Type,string
island,Area,num
island,Height,num
island,Islands,string
island,Latitude,num
island,Longitude,num
island,Name,string
island,Type,string
islandIn,Island,string
islandIn,Lake,string
islandIn,River,string
islandIn,Sea,string
lake,Altitude,num
lake,Area,num
lake,Depth,num
lake,Latitude,num
lake,Longitude,num
lake,Name,string
lake,River,string
lake,Type,string
language,Country,string
language,Name,string
language,Percentage,num
located,City,string
located,Country,string
located,Lake,string
located,Province,string
located,River,string
located,Sea,string
locatedOn,City,string
locatedOn,Country,string
locatedOn,Island,string
locatedOn,Province,string
mergesWith,Sea1,string
mergesWith,Sea2,string
mountain,Height,num
mountain,Latitude,num
mountain,Longitude,string
mountain,Mountains,string
mountain,Name,string
mountain,Type,string
mountainOnIsland,Island,string
mountainOnIsland,Mountain,string
organization,Abbreviation,string
organization,City,string
organization,Country,string
organization,Established,date
organization,Name,string
organization,Province,string
politics,Country,string
politics,Dependent,string
politics,Government,string
politics,Independence,date
population,Country,string
population,Infant_Mortality,num
population,Population_Growth,num
province,Area,num
province,CapProv,string
province,Capital,string
province,Country,string
province,Name,string
province,Population,num
religion,Country,string
religion,Name,string
religion,Percentage,num
river,EstuaryLatitude,num
river,EstuaryLongitude,string
river,Lake,string
river,Length,num
river,Mountains,string
river,Name,string
river,River,string
river,Sea,string
river,SourceAltitude,num
river,SourceLatitude,num
river,SourceLongitude,string
sea,Depth,num
sea,Name,string
target,Country,string
target,Target,num
