table_name,column_name,column_type
accounts,id,num
accounts,has_access_to_paid_version_for_free,num
accounts,api_key,string
accounts,number_of_invitations_sent,num
accounts,default_time_reminder_is_sent,string
accounts,default_gender_id,num
accounts,stripe_id,string
accounts,card_brand,string
accounts,card_last_four,string
accounts,trial_ends_at,date
accounts,legacy_free_plan_unlimited_contacts,num
accounts,created_at,date
accounts,updated_at,date
activities,id,num
activities,account_id,num
activities,activity_type_id,num
activities,summary,string
activities,description,string
activities,happened_at,date
activities,created_at,date
activities,updated_at,date
activity_contact,activity_id,num
activity_contact,contact_id,num
activity_contact,account_id,num
activity_statistics,id,num
activity_statistics,account_id,num
activity_statistics,contact_id,num
activity_statistics,year,num
activity_statistics,count,num
activity_statistics,created_at,date
activity_statistics,updated_at,date
activity_type_categories,id,num
activity_type_categories,account_id,num
activity_type_categories,name,string
activity_type_categories,translation_key,string
activity_type_categories,created_at,date
activity_type_categories,updated_at,date
activity_types,id,num
activity_types,account_id,num
activity_types,activity_type_category_id,num
activity_types,name,string
activity_types,translation_key,string
activity_types,location_type,string
activity_types,created_at,date
activity_types,updated_at,date
address_contact_field_label,contact_field_label_id,num
address_contact_field_label,address_id,num
address_contact_field_label,account_id,num
addresses,id,num
addresses,account_id,num
addresses,place_id,num
addresses,contact_id,num
addresses,name,string
addresses,created_at,date
addresses,updated_at,date
api_usage,id,num
api_usage,url,string
api_usage,method,string
api_usage,client_ip,string
api_usage,created_at,date
api_usage,updated_at,date
audit_logs,id,num
audit_logs,account_id,num
audit_logs,author_id,num
audit_logs,about_contact_id,num
audit_logs,author_name,string
audit_logs,action,string
audit_logs,objects,string
audit_logs,audited_at,date
audit_logs,should_appear_on_dashboard,num
audit_logs,created_at,date
audit_logs,updated_at,date
cache,value,string
cache,expiration,num
calls,id,num
calls,account_id,num
calls,contact_id,num
calls,called_at,date
calls,content,string
calls,contact_called,num
calls,created_at,date
calls,updated_at,date
companies,id,num
companies,account_id,num
companies,name,string
companies,website,string
companies,number_of_employees,num
companies,created_at,date
companies,updated_at,date
contact_field_contact_field_label,contact_field_label_id,num
contact_field_contact_field_label,contact_field_id,num
contact_field_contact_field_label,account_id,num
contact_field_labels,id,num
contact_field_labels,account_id,num
contact_field_labels,label_i18n,string
contact_field_labels,label,string
contact_field_labels,created_at,date
contact_field_labels,updated_at,date
contact_field_types,id,num
contact_field_types,account_id,num
contact_field_types,name,string
contact_field_types,fontawesome_icon,string
contact_field_types,protocol,string
contact_field_types,delible,num
contact_field_types,type,string
contact_field_types,created_at,date
contact_field_types,updated_at,date
contact_fields,id,num
contact_fields,account_id,num
contact_fields,contact_id,num
contact_fields,contact_field_type_id,num
contact_fields,data,string
contact_fields,created_at,date
contact_fields,updated_at,date
contact_photo,contact_id,num
contact_photo,photo_id,num
contact_photo,created_at,date
contact_photo,updated_at,date
contact_tag,contact_id,num
contact_tag,tag_id,num
contact_tag,account_id,num
contact_tag,created_at,date
contact_tag,updated_at,date
contacts,id,num
contacts,account_id,num
contacts,first_name,string
contacts,middle_name,string
contacts,last_name,string
contacts,nickname,string
contacts,gender_id,num
contacts,description,string
contacts,uuid,string
contacts,is_starred,num
contacts,is_partial,num
contacts,is_active,num
contacts,is_dead,num
contacts,deceased_special_date_id,num
contacts,deceased_reminder_id,num
contacts,last_talked_to,date
contacts,stay_in_touch_frequency,num
contacts,stay_in_touch_trigger_date,date
contacts,birthday_special_date_id,num
contacts,birthday_reminder_id,num
contacts,first_met_through_contact_id,num
contacts,first_met_special_date_id,num
contacts,first_met_reminder_id,num
contacts,first_met_where,string
contacts,first_met_additional_info,string
contacts,job,string
contacts,company,string
contacts,food_preferences,string
contacts,avatar_source,string
contacts,avatar_gravatar_url,string
contacts,avatar_adorable_uuid,string
contacts,avatar_adorable_url,string
contacts,avatar_default_url,string
contacts,avatar_photo_id,num
contacts,has_avatar,num
contacts,avatar_external_url,string
contacts,avatar_file_name,string
contacts,avatar_location,string
contacts,gravatar_url,string
contacts,last_consulted_at,date
contacts,number_of_views,num
contacts,created_at,date
contacts,updated_at,date
contacts,default_avatar_color,string
contacts,has_avatar_bool,num
conversations,id,num
conversations,account_id,num
conversations,contact_id,num
conversations,contact_field_type_id,num
conversations,happened_at,date
conversations,created_at,date
conversations,updated_at,date
crons,id,num
crons,command,string
crons,last_run,date
crons,created_at,date
crons,updated_at,date
currencies,id,num
currencies,iso,string
currencies,name,string
currencies,symbol,string
currencies,created_at,date
currencies,updated_at,date
