table_name,column_name,column_type
actor,actor_id,num
actor,first_name,string
actor,last_name,string
actor,last_update,date
address,address,string
address,address2,string
address,address_id,num
address,city_id,num
address,district,string
address,last_update,date
address,phone,string
address,postal_code,string
category,category_id,num
category,last_update,date
category,name,string
city,city,string
city,city_id,num
city,country_id,num
city,last_update,date
country,country,string
country,country_id,num
country,last_update,date
customer,active,boolean
customer,address_id,num
customer,create_date,date
customer,customer_id,num
customer,email,string
customer,first_name,string
customer,last_name,string
customer,last_update,date
customer,store_id,num
film,description,string
film,film_id,num
film,language_id,num
film,last_update,date
film,length,num
film,original_language_id,num
film,rating,string
film,release_year,string
film,rental_duration,num
film,rental_rate,num
film,replacement_cost,num
film,special_features,string
film,title,string
film_actor,actor_id,num
film_actor,film_id,num
film_actor,last_update,date
film_category,category_id,num
film_category,film_id,num
film_category,last_update,date
film_text,description,string
film_text,film_id,num
film_text,title,string
inventory,film_id,num
inventory,inventory_id,num
inventory,last_update,date
inventory,store_id,num
language,language_id,num
language,last_update,date
language,name,string
payment,amount,num
payment,customer_id,num
payment,last_update,date
payment,payment_date,date
payment,payment_id,num
payment,rental_id,num
payment,staff_id,num
rental,customer_id,num
rental,inventory_id,num
rental,last_update,date
rental,rental_date,date
rental,rental_id,num
rental,return_date,date
rental,staff_id,num
staff,active,boolean
staff,address_id,num
staff,email,string
staff,first_name,string
staff,last_name,string
staff,last_update,date
staff,password,string
staff,picture,binary
staff,staff_id,num
staff,store_id,num
staff,username,string
store,address_id,num
store,last_update,date
store,manager_staff_id,num
store,store_id,num
