table_name,column_name,column_type
lists,list_comments,num
lists,list_creation_timestamp_utc,date
lists,list_description,string
lists,list_followers,num
lists,list_id,num
lists,list_movie_number,num
lists,list_title,string
lists,list_update_timestamp_utc,date
lists,list_url,string
lists,user_id,num
lists_users,list_creation_date_utc,date
lists_users,list_id,num
lists_users,list_update_date_utc,date
lists_users,user_avatar_image_url,string
lists_users,user_cover_image_url,string
lists_users,user_eligible_for_trial,boolean
lists_users,user_has_payment_method,boolean
lists_users,user_id,num
lists_users,user_subscriber,boolean
lists_users,user_trialist,boolean
movies,director_id,string
movies,director_name,string
movies,director_url,string
movies,movie_id,num
movies,movie_image_url,string
movies,movie_popularity,num
movies,movie_release_year,num
movies,movie_title,string
movies,movie_title_language,string
movies,movie_url,string
ratings,critic,string
ratings,critic_comments,num
ratings,critic_likes,num
ratings,movie_id,num
ratings,rating_id,num
ratings,rating_score,num
ratings,rating_timestamp_utc,date
ratings,rating_url,string
ratings,user_eligible_for_trial,boolean
ratings,user_has_payment_method,num
ratings,user_id,num
ratings,user_subscriber,num
ratings,user_trialist,boolean
ratings_users,rating_date_utc,date
ratings_users,user_avatar_image_url,string
ratings_users,user_cover_image_url,string
ratings_users,user_eligible_for_trial,boolean
ratings_users,user_has_payment_method,boolean
ratings_users,user_id,num
ratings_users,user_subscriber,boolean
ratings_users,user_trialist,boolean
