table_name,column_name,column_type
actors,a_gender,boolean
actors,a_quality,num
actors,actorid,num
directors,avg_revenue,num
directors,d_quality,num
directors,directorid,num
movies,country,string
movies,isEnglish,string
movies,movieid,num
movies,runningtime,num
movies,year,num
movies2actors,actorid,num
movies2actors,cast_num,num
movies2actors,movieid,string
movies2directors,directorid,num
movies2directors,genre,string
movies2directors,movieid,num
u2base,movieid,num
u2base,rating,string
u2base,userid,num
users,age,string
users,occupation,string
users,u_gender,boolean
users,userid,num
