table_name,column_name,column_type
country,country_id,num
country,country_iso_code,string
country,country_name,string
department,department_id,num
department,department_name,string
gender,gender,string
gender,gender_id,num
genre,genre_id,num
genre,genre_name,string
keyword,keyword_id,num
keyword,keyword_name,string
language,language_code,string
language,language_id,num
language,language_name,string
language_role,language_role,boolean
language_role,role_id,num
movie,budget,num
movie,homepage,string
movie,movie_id,num
movie,movie_status,string
movie,overview,string
movie,popularity,num
movie,release_date,date
movie,revenue,num
movie,runtime,num
movie,tagline,num
movie,title,string
movie,vote_average,num
movie,vote_count,num
movie_cast,cast_order,num
movie_cast,character_name,string
movie_cast,gender_id,num
movie_cast,movie_id,num
movie_cast,person_id,num
movie_company,company_id,num
movie_company,movie_id,num
movie_crew,department_id,num
movie_crew,job,string
movie_crew,movie_id,num
movie_crew,person_id,num
movie_genres,genre_id,num
movie_genres,movie_id,num
movie_keywords,keyword_id,num
movie_keywords,movie_id,num
movie_languages,language_id,num
movie_languages,language_role_id,num
movie_languages,movie_id,num
person,person_id,num
person,person_name,string
production_company,company_id,num
production_company,company_name,string
production_country,country_id,num
production_country,movie_id,num
