table_name,column_name,column_type
Albums,AId,num
Albums,Title,string
Albums,Year,num
Albums,Label,string
Albums,Type,string
Band,Id,num
Band,Firstname,string
Band,Lastname,string
Instruments,SongId,num
Instruments,BandmateId,num
Instruments,Instrument,string
Performance,SongId,num
Performance,Bandmate,num
Performance,StagePosition,string
Songs,SongId,num
Songs,Title,string
Tracklists,AlbumId,num
Tracklists,Position,num
Tracklists,SongId,num
Vocals,SongId,num
Vocals,Bandmate,num
Vocals,Type,string
