table_name,column_name,column_type
auth_user,id,num
auth_user,password,string
auth_user,last_login,date
auth_user,is_superuser,num
auth_user,username,string
auth_user,first_name,string
auth_user,last_name,string
auth_user,email,string
auth_user,is_staff,num
auth_user,is_active,num
auth_user,date_joined,date
oauth2_provider_accesstoken,id,num
oauth2_provider_accesstoken,token,string
oauth2_provider_accesstoken,expires,date
oauth2_provider_accesstoken,scope,string
oauth2_provider_accesstoken,application_id,num
oauth2_provider_accesstoken,user_id,num
oauth2_provider_accesstoken,created,date
oauth2_provider_accesstoken,updated,date
oauth2_provider_accesstoken,source_refresh_token_id,num
oauth2_provider_application,id,num
oauth2_provider_application,client_id,string
oauth2_provider_application,redirect_uris,string
oauth2_provider_application,client_type,string
oauth2_provider_application,authorization_grant_type,string
oauth2_provider_application,client_secret,string
oauth2_provider_application,name,string
oauth2_provider_application,user_id,num
oauth2_provider_application,skip_authorization,num
oauth2_provider_application,created,date
oauth2_provider_application,updated,date
oauth2_provider_grant,id,num
oauth2_provider_grant,code,string
oauth2_provider_grant,expires,date
oauth2_provider_grant,redirect_uri,string
oauth2_provider_grant,scope,string
oauth2_provider_grant,application_id,num
oauth2_provider_grant,user_id,num
oauth2_provider_grant,created,date
oauth2_provider_grant,updated,date
oauth2_provider_grant,code_challenge,string
oauth2_provider_grant,code_challenge_method,string
oauth2_provider_refreshtoken,id,num
oauth2_provider_refreshtoken,token,string
oauth2_provider_refreshtoken,access_token_id,num
oauth2_provider_refreshtoken,application_id,num
oauth2_provider_refreshtoken,user_id,num
oauth2_provider_refreshtoken,created,date
oauth2_provider_refreshtoken,updated,date
oauth2_provider_refreshtoken,revoked,date
