table_name,column_name,column_type
backend_access_log,id,num
backend_access_log,user_id,num
backend_access_log,ip_address,string
backend_access_log,created_at,date
backend_access_log,updated_at,date
backend_user_groups,id,num
backend_user_groups,name,string
backend_user_groups,created_at,date
backend_user_groups,updated_at,date
backend_user_groups,code,string
backend_user_groups,description,string
backend_user_groups,is_new_user_default,num
backend_user_preferences,id,num
backend_user_preferences,user_id,num
backend_user_preferences,namespace,string
backend_user_preferences,group,string
backend_user_preferences,item,string
backend_user_preferences,value,string
backend_user_roles,id,num
backend_user_roles,name,string
backend_user_roles,code,string
backend_user_roles,description,string
backend_user_roles,permissions,string
backend_user_roles,is_system,num
backend_user_roles,created_at,date
backend_user_roles,updated_at,date
backend_user_throttle,id,num
backend_user_throttle,user_id,num
backend_user_throttle,ip_address,string
backend_user_throttle,attempts,num
backend_user_throttle,last_attempt_at,date
backend_user_throttle,is_suspended,num
backend_user_throttle,suspended_at,date
backend_user_throttle,is_banned,num
backend_user_throttle,banned_at,date
backend_users,id,num
backend_users,first_name,string
backend_users,last_name,string
backend_users,login,string
backend_users,email,string
backend_users,password,string
backend_users,activation_code,string
backend_users,persist_code,string
backend_users,reset_password_code,string
backend_users,permissions,string
backend_users,is_activated,num
backend_users,role_id,num
backend_users,activated_at,date
backend_users,last_login,date
backend_users,created_at,date
backend_users,updated_at,date
backend_users,deleted_at,date
backend_users,is_superuser,num
backend_users_groups,user_id,num
backend_users_groups,user_group_id,num
cache,value,string
cache,expiration,num
cms_theme_data,id,num
cms_theme_data,theme,string
cms_theme_data,data,string
cms_theme_data,created_at,date
cms_theme_data,updated_at,date
cms_theme_logs,id,num
cms_theme_logs,type,string
cms_theme_logs,theme,string
cms_theme_logs,template,string
cms_theme_logs,old_template,string
cms_theme_logs,content,string
cms_theme_logs,old_content,string
cms_theme_logs,user_id,num
cms_theme_logs,created_at,date
cms_theme_logs,updated_at,date
cms_theme_templates,id,num
cms_theme_templates,source,string
cms_theme_templates,path,string
cms_theme_templates,content,string
cms_theme_templates,file_size,num
cms_theme_templates,updated_at,date
cms_theme_templates,deleted_at,date
deferred_bindings,id,num
deferred_bindings,master_type,string
deferred_bindings,master_field,string
deferred_bindings,slave_type,string
deferred_bindings,slave_id,string
deferred_bindings,session_key,string
deferred_bindings,is_bind,num
deferred_bindings,created_at,date
deferred_bindings,updated_at,date
failed_jobs,id,num
failed_jobs,connection,string
failed_jobs,queue,string
failed_jobs,payload,string
failed_jobs,exception,string
failed_jobs,failed_at,date
jobs,id,num
jobs,queue,string
jobs,payload,string
jobs,attempts,num
jobs,reserved_at,num
jobs,available_at,num
jobs,created_at,num
migrations,id,num
migrations,migration,string
migrations,batch,num
sessions,id,string
sessions,payload,string
sessions,last_activity,num
sessions,user_id,num
sessions,ip_address,string
sessions,user_agent,string
system_event_logs,id,num
system_event_logs,level,string
system_event_logs,message,string
system_event_logs,details,string
system_event_logs,created_at,date
system_event_logs,updated_at,date
system_files,id,num
system_files,disk_name,string
system_files,file_name,string
system_files,file_size,num
system_files,content_type,string
system_files,title,string
system_files,description,string
system_files,field,string
system_files,attachment_id,string
system_files,attachment_type,string
system_files,is_public,num
system_files,sort_order,num
system_files,created_at,date
system_files,updated_at,date
system_mail_layouts,id,num
system_mail_layouts,name,string
system_mail_layouts,code,string
system_mail_layouts,content_html,string
system_mail_layouts,content_text,string
system_mail_layouts,content_css,string
system_mail_layouts,is_locked,num
system_mail_layouts,options,string
system_mail_layouts,created_at,date
system_mail_layouts,updated_at,date
system_mail_partials,id,num
system_mail_partials,name,string
system_mail_partials,code,string
system_mail_partials,content_html,string
system_mail_partials,content_text,string
system_mail_partials,is_custom,num
system_mail_partials,created_at,date
system_mail_partials,updated_at,date
system_mail_templates,id,num
system_mail_templates,code,string
system_mail_templates,subject,string
system_mail_templates,description,string
system_mail_templates,content_html,string
system_mail_templates,content_text,string
system_mail_templates,layout_id,num
system_mail_templates,is_custom,num
system_mail_templates,created_at,date
system_mail_templates,updated_at,date
system_parameters,id,num
system_parameters,namespace,string
system_parameters,group,string
system_parameters,item,string
system_parameters,value,string
system_plugin_history,id,num
system_plugin_history,code,string
system_plugin_history,type,string
system_plugin_history,version,string
system_plugin_history,detail,string
system_plugin_history,created_at,date
system_plugin_versions,id,num
system_plugin_versions,code,string
system_plugin_versions,version,string
system_plugin_versions,created_at,date
system_plugin_versions,is_disabled,num
system_plugin_versions,is_frozen,num
system_request_logs,id,num
system_request_logs,status_code,num
system_request_logs,url,string
system_request_logs,referer,string
system_request_logs,count,num
system_request_logs,created_at,date
system_request_logs,updated_at,date
system_revisions,id,num
system_revisions,user_id,num
system_revisions,field,string
system_revisions,cast,string
system_revisions,old_value,string
system_revisions,new_value,string
system_revisions,revisionable_type,string
system_revisions,revisionable_id,num
system_revisions,created_at,date
system_revisions,updated_at,date
system_settings,id,num
system_settings,item,string
system_settings,value,string
