table_name,column_name,column_type
app_installation_permissions,id,num
app_installation_permissions,app_installation_id,num
app_installation_permissions,user_id,num
app_installation_permissions,created_at,date
app_installation_permissions,updated_at,date
app_installations,id,num
app_installations,github_id,num
app_installations,app_id,num
app_installations,account_login,string
app_installations,account_id,num
app_installations,account_type,string
app_installations,target_type,string
app_installations,target_id,num
app_installations,permission_pull_requests,string
app_installations,permission_issues,string
app_installations,created_at,date
app_installations,updated_at,date
app_installations,permission_statuses,string
comments,id,num
comments,subject_id,num
comments,github_id,num
comments,author,string
comments,author_association,string
comments,body,string
comments,created_at,date
comments,updated_at,date
comments,review_state,string
comments,url,string
labels,id,num
labels,name,string
labels,color,string
labels,subject_id,num
labels,created_at,date
labels,updated_at,date
labels,github_id,num
notifications,id,num
notifications,user_id,num
notifications,github_id,num
notifications,repository_id,num
notifications,repository_full_name,string
notifications,subject_title,string
notifications,subject_url,string
notifications,subject_type,string
notifications,reason,string
notifications,unread,num
notifications,last_read_at,string
notifications,url,string
notifications,archived,num
notifications,created_at,date
notifications,updated_at,date
notifications,starred,num
notifications,repository_owner_name,string
notifications,latest_comment_url,string
notifications,muted_at,date
pinned_searches,id,num
pinned_searches,user_id,num
pinned_searches,query,string
pinned_searches,name,string
pinned_searches,created_at,date
pinned_searches,updated_at,date
repositories,id,num
repositories,full_name,string
repositories,github_id,num
repositories,private,num
repositories,owner,string
repositories,last_synced_at,date
repositories,created_at,date
repositories,updated_at,date
repositories,app_installation_id,num
subjects,id,num
subjects,url,string
subjects,state,string
subjects,author,string
subjects,created_at,date
subjects,updated_at,date
subjects,html_url,string
subjects,assignees,string
subjects,github_id,num
subjects,repository_full_name,string
subjects,locked,num
subjects,sha,string
subjects,status,string
subjects,body,string
subjects,comment_count,num
subjects,draft,num
subscription_plans,id,num
subscription_plans,github_id,num
subscription_plans,name,string
subscription_plans,description,string
subscription_plans,monthly_price_in_cents,num
subscription_plans,yearly_price_in_cents,num
subscription_plans,price_model,string
subscription_plans,has_free_trial,num
subscription_plans,unit_name,string
subscription_plans,created_at,date
subscription_plans,updated_at,date
subscription_plans,number,num
subscription_purchases,id,num
subscription_purchases,subscription_plan_id,num
subscription_purchases,account_id,num
subscription_purchases,billing_cycle,string
subscription_purchases,unit_count,num
subscription_purchases,on_free_trial,num
subscription_purchases,free_trial_ends_on,date
subscription_purchases,next_billing_date,date
subscription_purchases,created_at,date
subscription_purchases,updated_at,date
subscription_purchases,oc_transactionid,num
users,id,num
users,github_id,num
users,github_login,string
users,created_at,date
users,updated_at,date
users,last_synced_at,date
users,refresh_interval,num
users,api_token,string
users,sync_job_id,string
users,encrypted_access_token,string
users,encrypted_access_token_iv,string
users,encrypted_personal_access_token,string
users,encrypted_personal_access_token_iv,string
users,encrypted_app_token,string
users,encrypted_app_token_iv,string
users,theme,string
users,display_comments,num
