table_name,column_name,column_type
city,city_name,string
city,id,num
competitor_event,competitor_id,num
competitor_event,event_id,num
competitor_event,medal_id,num
event,event_name,string
event,id,num
event,sport_id,num
games,games_name,string
games,games_year,num
games,id,num
games,season,boolean
games_city,city_id,num
games_city,games_id,num
games_competitor,age,num
games_competitor,games_id,num
games_competitor,id,num
games_competitor,person_id,num
medal,id,num
medal,medal_name,string
noc_region,id,num
noc_region,noc,string
noc_region,region_name,string
person,full_name,string
person,gender,boolean
person,height,num
person,id,num
person,weight,num
person_region,person_id,num
person_region,region_id,num
sport,id,num
sport,sport_name,string
