table_name,column_name,column_type
Exams,Exam_ID,num
Exams,Subject_Code,string
Exams,Exam_Date,date
Exams,Exam_Name,string
Questions,Question_ID,num
Questions,Type_of_Question_Code,string
Questions,Question_Text,string
Questions_in_Exams,Exam_ID,num
Questions_in_Exams,Question_ID,num
Student_Answers,Student_Answer_ID,num
Student_Answers,Exam_ID,num
Student_Answers,Question_ID,num
Student_Answers,Student_ID,num
Student_Answers,Date_of_Answer,date
Student_Answers,Comments,string
Student_Answers,Satisfactory_YN,string
Student_Answers,Student_Answer_Text,string
Student_Assessments,Student_Answer_ID,string
Student_Assessments,Valid_Answer_ID,num
Student_Assessments,Student_Answer_Text,string
Student_Assessments,Satisfactory_YN,string
Student_Assessments,Assessment,string
Students,Student_ID,num
Students,First_Name,string
Students,Middle_Name,string
Students,Last_Name,string
Students,Gender_MFU,string
Students,Student_Address,string
Students,Email_Adress,string
Students,Cell_Mobile_Phone,string
Students,Home_Phone,string
Valid_Answers,Valid_Answer_ID,num
Valid_Answers,Question_ID,num
Valid_Answers,Valid_Answer_Text,string
