table_name,column_name,column_type
conductor,Conductor_ID,num
conductor,Name,string
conductor,Age,num
conductor,Nationality,string
conductor,Year_of_Work,num
orchestra,Orchestra_ID,num
orchestra,Orchestra,string
orchestra,Conductor_ID,num
orchestra,Record_Company,string
orchestra,Year_of_Founded,num
orchestra,Major_Record_Format,string
performance,Performance_ID,num
performance,Orchestra_ID,num
performance,Type,string
performance,Date,string
performance,Official_ratings_(millions),num
performance,Weekly_rank,string
performance,Share,string
show,Show_ID,num
show,Performance_ID,num
show,If_first_show,boolean
show,Result,string
show,Attendance,num
