table_name,column_name,column_type
attachmentable,id,num
attachmentable,attachmentable_type,string
attachmentable,attachmentable_id,num
attachmentable,attachment_id,num
attachments,id,num
attachments,name,string
attachments,original_name,string
attachments,mime,string
attachments,extension,string
attachments,size,num
attachments,sort,num
attachments,path,string
attachments,description,string
attachments,alt,string
attachments,hash,string
attachments,disk,string
attachments,user_id,num
attachments,group,string
attachments,created_at,date
attachments,updated_at,date
notifications,id,string
notifications,type,string
notifications,notifiable_type,string
notifications,notifiable_id,num
notifications,data,string
notifications,read_at,date
notifications,created_at,date
notifications,updated_at,date
role_users,user_id,num
role_users,role_id,num
roles,id,num
roles,slug,string
roles,name,string
roles,permissions,string
roles,created_at,date
roles,updated_at,date
settings,value,string
users,id,num
users,name,string
users,email,string
users,email_verified_at,date
users,password,string
users,remember_token,string
users,created_at,date
users,updated_at,date
users,last_login,date
users,permissions,string
