table_name,column_name,column_type
member,Member_ID,num
member,Member_Name,string
member,Party_ID,string
member,In_office,string
party,Party_ID,num
party,Minister,string
party,Took_office,string
party,Left_office,string
party,Region_ID,num
party,Party_name,string
party_events,Event_ID,num
party_events,Event_Name,string
party_events,Party_ID,num
party_events,Member_in_charge_ID,num
region,Region_ID,num
region,Region_name,string
region,Date,string
region,Label,string
region,Format,string
region,Catalogue,string
