table_name,column_name,column_type
pay_charges,id,num
pay_charges,owner_type,string
pay_charges,owner_id,num
pay_charges,processor,string
pay_charges,processor_id,string
pay_charges,amount,num
pay_charges,amount_refunded,num
pay_charges,card_type,string
pay_charges,card_last4,string
pay_charges,card_exp_month,string
pay_charges,card_exp_year,string
pay_charges,created_at,date
pay_charges,updated_at,date
pay_subscriptions,id,num
pay_subscriptions,owner_id,num
pay_subscriptions,name,string
pay_subscriptions,processor,string
pay_subscriptions,processor_id,string
pay_subscriptions,processor_plan,string
pay_subscriptions,quantity,num
pay_subscriptions,trial_ends_at,date
pay_subscriptions,ends_at,date
pay_subscriptions,created_at,date
pay_subscriptions,updated_at,date
pay_subscriptions,status,string
