table_name,column_name,column_type
account_emailaddress,id,num
account_emailaddress,email,string
account_emailaddress,verified,boolean
account_emailaddress,user_id,num
account_emailconfirmation,id,num
account_emailconfirmation,created,date
auth_group,id,num
auth_group,name,string
auth_group_permissions,id,num
auth_group_permissions,group_id,num
auth_group_permissions,permission_id,num
auth_permission,id,num
auth_permission,name,string
auth_permission,content_type_id,num
auth_permission,codename,string
django_admin_log,id,num
django_admin_log,action_time,date
django_content_type,id,num
django_content_type,app_label,string
django_content_type,model,string
django_migrations,id,num
django_migrations,app,string
django_migrations,name,string
django_migrations,applied,date
django_session,session_key,string
django_session,session_data,string
django_session,expire_date,date
django_site,id,num
django_site,domain,string
django_site,name,string
djstripe_customer,djstripe_id,num
djstripe_customer,id,string
djstripe_customer,livemode,boolean
djstripe_customer,created,date
djstripe_plan,djstripe_id,num
djstripe_plan,id,string
djstripe_plan,livemode,boolean
djstripe_plan,created,date
djstripe_product,djstripe_id,num
djstripe_product,id,string
djstripe_product,livemode,boolean
djstripe_product,created,date
djstripe_subscription,djstripe_id,num
djstripe_subscription,id,string
djstripe_subscription,livemode,boolean
djstripe_subscription,created,date
pegasus_examples_employee,id,num
pegasus_examples_employee,created_at,date
pegasus_examples_payment,created_at,date
teams_invitation,id,string
teams_invitation,email,string
teams_invitation,role,string
teams_invitation,is_accepted,boolean
teams_invitation,invited_by_id,num
teams_invitation,team_id,num
teams_invitation,accepted_by_id,num
teams_invitation,created_at,date
teams_membership,id,num
teams_membership,role,string
teams_membership,team_id,num
teams_membership,user_id,num
teams_membership,created_at,date
teams_team,id,num
teams_team,name,string
teams_team,slug,string
teams_team,created_at,date
users_customuser,id,num
users_customuser,password,string
users_customuser,last_login,date
users_customuser_groups,id,num
users_customuser_groups,customuser_id,num
users_customuser_groups,group_id,num
users_customuser_user_permissions,id,num
users_customuser_user_permissions,customuser_id,num
users_customuser_user_permissions,permission_id,num
