table_name,column_name,column_type
permissions,id,num
permissions,name,string
permissions,guard_name,string
permissions,created_at,date
permissions,updated_at,date
roles,id,num
roles,name,string
roles,guard_name,string
roles,created_at,date
roles,updated_at,date
model_has_permissions,permission_id,num
model_has_permissions,model_type,string
model_has_permissions,model_id,num
model_has_roles,role_id,num
model_has_roles,model_type,string
model_has_roles,model_id,num
role_has_permissions,permission_id,num
role_has_permissions,role_id,num
