table_name,column_name,column_type
chip_model,Model_name,string
chip_model,Launch_year,num
chip_model,RAM_MiB,num
chip_model,ROM_MiB,num
chip_model,Slots,string
chip_model,WiFi,string
chip_model,Bluetooth,string
phone,Company_name,string
phone,Hardware_Model_name,string
phone,Accreditation_type,string
phone,Accreditation_level,string
phone,Date,string
phone,chip_model,string
phone,screen_mode,string
screen_mode,Graphics_mode,num
screen_mode,Char_cells,string
screen_mode,Pixels,string
screen_mode,Hardware_colours,num
screen_mode,used_kb,num
screen_mode,map,string
screen_mode,Type,string
