table_name,column_name,column_type
aircraft,Aircraft_ID,num
aircraft,Order_Year,num
aircraft,Manufacturer,string
aircraft,Model,string
aircraft,Fleet_Series,string
aircraft,Powertrain,string
aircraft,Fuel_Propulsion,string
pilot,Pilot_ID,num
pilot,Pilot_name,string
pilot,Rank,num
pilot,Age,num
pilot,Nationality,string
pilot,Position,string
pilot,Join_Year,num
pilot,Team,string
pilot_record,Record_ID,num
pilot_record,Pilot_ID,num
pilot_record,Aircraft_ID,num
pilot_record,Date,string
