table_name,column_name,column_type
account_logs,id,num
account_logs,user_id,num
account_logs,item_id,num
account_logs,item_type,string
account_logs,action,string
account_logs,message,string
account_logs,link,string
account_logs,ip_address,string
account_logs,user_agent,string
account_logs,metadata,string
account_logs,created_at,date
account_logs,updated_at,date
activities,id,num
activities,to_id,num
activities,from_id,num
activities,object_type,string
activities,data,string
activities,processed_at,date
activities,created_at,date
activities,updated_at,date
avatars,id,num
avatars,profile_id,num
avatars,media_path,string
avatars,thumb_path,string
avatars,remote_url,string
avatars,change_count,num
avatars,last_fetched_at,date
avatars,last_processed_at,date
avatars,created_at,date
avatars,updated_at,date
avatars,deleted_at,date
bookmarks,id,num
bookmarks,status_id,num
bookmarks,profile_id,num
bookmarks,created_at,date
bookmarks,updated_at,date
circle_profiles,id,num
circle_profiles,owner_id,num
circle_profiles,circle_id,num
circle_profiles,profile_id,num
circle_profiles,created_at,date
circle_profiles,updated_at,date
circles,id,num
circles,profile_id,num
circles,name,string
circles,description,string
circles,scope,string
circles,bcc,num
circles,active,num
circles,created_at,date
circles,updated_at,date
collection_items,id,num
collection_items,collection_id,num
collection_items,order,num
collection_items,object_type,string
collection_items,object_id,num
collection_items,created_at,date
collection_items,updated_at,date
collections,id,num
collections,profile_id,num
collections,title,string
collections,description,string
collections,is_nsfw,num
collections,visibility,string
collections,published_at,date
collections,created_at,date
collections,updated_at,date
comments,id,num
comments,profile_id,num
comments,user_id,num
comments,status_id,num
comments,comment,string
comments,rendered,string
comments,entities,string
comments,is_remote,num
comments,rendered_at,date
comments,created_at,date
comments,updated_at,date
contacts,id,num
contacts,user_id,num
contacts,response_requested,num
contacts,message,string
contacts,response,string
contacts,read_at,date
contacts,responded_at,date
contacts,created_at,date
contacts,updated_at,date
direct_messages,id,num
direct_messages,to_id,num
direct_messages,from_id,num
direct_messages,from_profile_ids,string
direct_messages,group_message,num
direct_messages,status_id,num
direct_messages,read_at,date
direct_messages,created_at,date
direct_messages,updated_at,date
discover_categories,id,num
discover_categories,name,string
discover_categories,slug,string
discover_categories,active,num
discover_categories,order,num
discover_categories,media_id,num
discover_categories,no_nsfw,num
discover_categories,local_only,num
discover_categories,public_only,num
discover_categories,photos_only,num
discover_categories,active_until,date
discover_categories,created_at,date
discover_categories,updated_at,date
discover_category_hashtags,id,num
discover_category_hashtags,discover_category_id,num
discover_category_hashtags,hashtag_id,num
discover_category_hashtags,created_at,date
discover_category_hashtags,updated_at,date
email_verifications,id,num
email_verifications,user_id,num
email_verifications,email,string
email_verifications,user_token,string
email_verifications,random_token,string
email_verifications,created_at,date
email_verifications,updated_at,date
failed_jobs,id,num
failed_jobs,connection,string
failed_jobs,queue,string
failed_jobs,payload,string
failed_jobs,exception,string
failed_jobs,failed_at,date
follow_requests,id,num
follow_requests,follower_id,num
follow_requests,following_id,num
follow_requests,is_rejected,num
follow_requests,is_local,num
follow_requests,created_at,date
follow_requests,updated_at,date
followers,id,num
followers,profile_id,num
followers,following_id,num
followers,local_profile,num
followers,local_following,num
followers,created_at,date
followers,updated_at,date
hashtag_follows,id,num
hashtag_follows,user_id,num
hashtag_follows,profile_id,num
hashtag_follows,hashtag_id,num
hashtag_follows,created_at,date
hashtag_follows,updated_at,date
hashtags,id,num
hashtags,name,string
hashtags,slug,string
hashtags,is_nsfw,num
hashtags,is_banned,num
hashtags,created_at,date
hashtags,updated_at,date
import_datas,id,num
import_datas,profile_id,num
import_datas,job_id,num
import_datas,service,string
import_datas,path,string
import_datas,stage,num
import_datas,original_name,string
import_datas,import_accepted,num
import_datas,completed_at,date
import_datas,created_at,date
import_datas,updated_at,date
import_jobs,id,num
import_jobs,profile_id,num
import_jobs,service,string
import_jobs,uuid,string
import_jobs,storage_path,string
import_jobs,stage,num
import_jobs,media_json,string
import_jobs,completed_at,date
import_jobs,created_at,date
import_jobs,updated_at,date
instances,id,num
instances,domain,string
instances,url,string
instances,name,string
instances,admin_url,string
instances,limit_reason,string
instances,unlisted,num
instances,auto_cw,num
instances,banned,num
instances,created_at,date
instances,updated_at,date
jobs,id,num
jobs,queue,string
jobs,payload,string
jobs,attempts,num
jobs,reserved_at,num
jobs,available_at,num
jobs,created_at,num
likes,id,num
likes,profile_id,num
likes,status_id,num
likes,flagged,num
likes,created_at,date
likes,updated_at,date
likes,deleted_at,date
media,id,num
media,status_id,num
media,profile_id,num
media,user_id,num
media,is_nsfw,num
media,remote_media,num
media,original_sha256,string
media,optimized_sha256,string
media,media_path,string
media,thumbnail_path,string
media,cdn_url,string
media,optimized_url,string
media,thumbnail_url,string
media,remote_url,string
media,caption,string
media,hls_path,string
media,order,num
media,mime,string
media,size,num
media,orientation,string
media,filter_name,string
media,filter_class,string
media,license,string
media,processed_at,date
media,hls_transcoded_at,date
media,created_at,date
media,updated_at,date
media,deleted_at,date
media,metadata,string
media,version,num
mentions,id,num
mentions,status_id,num
mentions,profile_id,num
mentions,local,num
mentions,created_at,date
mentions,updated_at,date
mentions,deleted_at,date
migrations,id,num
migrations,migration,string
migrations,batch,num
mod_logs,id,num
mod_logs,user_id,num
mod_logs,user_username,string
mod_logs,object_uid,num
mod_logs,object_id,num
mod_logs,object_type,string
mod_logs,action,string
mod_logs,message,string
mod_logs,metadata,string
mod_logs,access_level,string
mod_logs,created_at,date
mod_logs,updated_at,date
newsroom,id,num
newsroom,user_id,num
newsroom,header_photo_url,string
newsroom,title,string
newsroom,slug,string
newsroom,category,string
newsroom,summary,string
newsroom,body,string
newsroom,body_rendered,string
newsroom,link,string
newsroom,force_modal,num
newsroom,show_timeline,num
newsroom,show_link,num
newsroom,auth_only,num
newsroom,published_at,date
newsroom,created_at,date
newsroom,updated_at,date
notifications,id,num
notifications,profile_id,num
notifications,actor_id,num
notifications,item_id,num
notifications,item_type,string
notifications,action,string
notifications,message,string
notifications,rendered,string
notifications,read_at,date
notifications,created_at,date
notifications,updated_at,date
notifications,deleted_at,date
oauth_access_tokens,id,string
oauth_access_tokens,user_id,num
oauth_access_tokens,client_id,num
oauth_access_tokens,name,string
oauth_access_tokens,scopes,string
oauth_access_tokens,revoked,num
oauth_access_tokens,created_at,date
oauth_access_tokens,updated_at,date
oauth_access_tokens,expires_at,date
oauth_auth_codes,id,string
oauth_auth_codes,user_id,num
oauth_auth_codes,client_id,num
oauth_auth_codes,scopes,string
oauth_auth_codes,revoked,num
oauth_auth_codes,expires_at,date
oauth_clients,id,num
oauth_clients,user_id,num
oauth_clients,name,string
oauth_clients,secret,string
oauth_clients,redirect,string
oauth_clients,personal_access_client,num
oauth_clients,password_client,num
oauth_clients,revoked,num
oauth_clients,created_at,date
oauth_clients,updated_at,date
oauth_personal_access_clients,id,num
oauth_personal_access_clients,client_id,num
