table_name,column_name,column_type
Client,AccountNumber,num
Client,Name,string
Employee,EmployeeID,num
Employee,Name,string
Employee,Position,string
Employee,Salary,num
Employee,Remarks,string
Has_Clearance,Employee,num
Has_Clearance,Planet,num
Has_Clearance,Level,num
Package,Shipment,num
Package,PackageNumber,num
Package,Contents,string
Package,Weight,num
Package,Sender,num
Package,Recipient,num
Planet,PlanetID,num
Planet,Name,string
Planet,Coordinates,num
Shipment,ShipmentID,num
Shipment,Date,date
Shipment,Manager,num
Shipment,Planet,num
