table_name,column_name,column_type
clicks,id,num
clicks,ip,string
clicks,country,string
clicks,referer,string
clicks,referer_host,string
clicks,user_agent,string
clicks,link_id,num
clicks,created_at,date
clicks,updated_at,date
links,id,num
links,short_url,string
links,long_url,string
links,ip,string
links,creator,string
links,clicks,num
links,secret_key,string
links,is_disabled,num
links,is_custom,num
links,is_api,num
links,created_at,date
links,updated_at,date
links,long_url_hash,string
migrations,migration,string
migrations,batch,num
users,id,num
users,username,string
users,password,string
users,email,string
users,ip,string
users,recovery_key,string
users,role,string
users,active,string
users,api_key,string
users,api_active,num
users,api_quota,string
users,created_at,date
users,updated_at,date
users,deleted_at,date
