table_name,column_name,column_type
Attribute_Definitions,attribute_id,num
Attribute_Definitions,attribute_name,string
Attribute_Definitions,attribute_data_type,string
Catalog_Contents,catalog_entry_id,num
Catalog_Contents,catalog_level_number,num
Catalog_Contents,parent_entry_id,num
Catalog_Contents,previous_entry_id,num
Catalog_Contents,next_entry_id,num
Catalog_Contents,catalog_entry_name,string
Catalog_Contents,product_stock_number,string
Catalog_Contents,price_in_dollars,num
Catalog_Contents,price_in_euros,num
Catalog_Contents,price_in_pounds,num
Catalog_Contents,capacity,string
Catalog_Contents,length,string
Catalog_Contents,height,string
Catalog_Contents,width,string
Catalog_Contents_Additional_Attributes,catalog_entry_id,num
Catalog_Contents_Additional_Attributes,catalog_level_number,num
Catalog_Contents_Additional_Attributes,attribute_id,num
Catalog_Contents_Additional_Attributes,attribute_value,string
Catalog_Structure,catalog_level_number,num
Catalog_Structure,catalog_id,num
Catalog_Structure,catalog_level_name,string
Catalogs,catalog_id,num
Catalogs,catalog_name,string
Catalogs,catalog_publisher,string
Catalogs,date_of_publication,date
Catalogs,date_of_latest_revision,date
