table_name,column_name,column_type
Bookings,booking_id,num
Bookings,customer_id,num
Bookings,booking_status_code,string
Bookings,returned_damaged_yn,string
Bookings,booking_start_date,date
Bookings,booking_end_date,date
Bookings,count_hired,string
Bookings,amount_payable,others
Bookings,amount_of_discount,others
Bookings,amount_outstanding,others
Bookings,amount_of_refund,others
Customers,customer_id,num
Customers,coupon_id,num
Customers,good_or_bad_customer,string
Customers,first_name,string
Customers,last_name,string
Customers,gender_mf,string
Customers,date_became_customer,date
Customers,date_last_hire,date
Discount_Coupons,coupon_id,num
Discount_Coupons,date_issued,date
Discount_Coupons,coupon_amount,others
Payments,payment_id,num
Payments,booking_id,num
Payments,customer_id,num
Payments,payment_type_code,string
Payments,amount_paid_in_full_yn,string
Payments,payment_date,date
Payments,amount_due,others
Payments,amount_paid,others
Products_Booked,booking_id,num
Products_Booked,product_id,num
Products_Booked,returned_yn,string
Products_Booked,returned_late_yn,string
Products_Booked,booked_count,num
Products_Booked,booked_amount,num
Products_for_Hire,product_id,num
Products_for_Hire,product_type_code,string
Products_for_Hire,daily_hire_cost,others
Products_for_Hire,product_name,string
Products_for_Hire,product_description,string
View_Product_Availability,product_id,num
View_Product_Availability,booking_id,num
View_Product_Availability,status_date,date
View_Product_Availability,available_yn,string
