table_name,column_name,column_type
Characteristics,characteristic_id,num
Characteristics,characteristic_type_code,string
Characteristics,characteristic_data_type,string
Characteristics,characteristic_name,string
Characteristics,other_characteristic_details,string
Product_Characteristics,product_id,num
Product_Characteristics,characteristic_id,num
Product_Characteristics,product_characteristic_value,string
Products,product_id,num
Products,color_code,string
Products,product_category_code,string
Products,product_name,string
Products,typical_buying_price,string
Products,typical_selling_price,string
Products,product_description,string
Products,other_product_details,string
Ref_Characteristic_Types,characteristic_type_code,string
Ref_Characteristic_Types,characteristic_type_description,string
Ref_Colors,color_code,string
Ref_Colors,color_description,string
Ref_Product_Categories,product_category_code,string
Ref_Product_Categories,product_category_description,string
Ref_Product_Categories,unit_of_measure,string
