table_name,column_name,column_type
awards_coaches,award,string
awards_coaches,coachID,string
awards_coaches,id,num
awards_coaches,lgID,string
awards_coaches,note,string
awards_coaches,year,string
awards_players,award,string
awards_players,lgID,string
awards_players,note,string
awards_players,playerID,string
awards_players,pos,string
awards_players,year,string
coaches,coachID,string
coaches,lgID,string
coaches,lost,num
coaches,post_losses,num
coaches,post_wins,num
coaches,stint,num
coaches,tmID,string
coaches,won,num
coaches,year,string
draft,draftFrom,string
draft,draftOverall,num
draft,draftRound,num
draft,draftSelection,num
draft,draftYear,num
draft,firstName,string
draft,id,num
draft,lastName,string
draft,lgID,string
draft,playerID,string
draft,suffixName,string
draft,tmID,string
player_allstar,assists,num
player_allstar,blocks,num
player_allstar,conference,string
player_allstar,d_rebounds,num
player_allstar,fg_attempted,num
player_allstar,fg_made,num
player_allstar,first_name,string
player_allstar,ft_attempted,num
player_allstar,ft_made,num
player_allstar,games_played,num
player_allstar,last_name,string
player_allstar,league_id,boolean
player_allstar,minutes,num
player_allstar,o_rebounds,num
player_allstar,personal_fouls,num
player_allstar,playerID,string
player_allstar,points,num
player_allstar,rebounds,num
player_allstar,season_id,num
player_allstar,steals,num
player_allstar,three_attempted,num
player_allstar,three_made,num
player_allstar,turnovers,num
players,birthCity,string
players,birthCountry,string
players,birthDate,date
players,birthState,string
players,college,string
players,collegeOther,string
players,deathDate,date
players,firstName,string
players,firstseason,string
players,fullGivenName,string
players,height,num
players,highSchool,string
players,hsCity,string
players,hsCountry,string
players,hsState,string
players,lastName,string
players,lastseason,string
players,middleName,string
players,nameGiven,string
players,nameNick,string
players,nameSuffix,string
players,playerID,string
players,pos,string
players,race,string
players,useFirst,string
players,weight,num
players_teams,GP,num
players_teams,PF,num
players_teams,PostAssists,num
players_teams,PostBlocks,num
players_teams,PostGP,num
players_teams,PostGS,num
players_teams,PostMinutes,string
players_teams,PostPF,num
players_teams,PostPoints,num
players_teams,PostRebounds,num
players_teams,PostSteals,num
players_teams,PostTurnovers,num
players_teams,PostdRebounds,num
players_teams,PostfgAttempted,num
players_teams,PostfgMade,num
players_teams,PostftAttempted,num
players_teams,PostftMade,num
players_teams,PostoRebounds,num
players_teams,PostthreeAttempted,num
players_teams,PostthreeMade,num
players_teams,assists,num
players_teams,blocks,num
players_teams,dRebounds,num
players_teams,fgAttempted,num
players_teams,fgMade,num
players_teams,ftAttempted,num
players_teams,ftMade,num
players_teams,id,num
players_teams,minutes,num
players_teams,oRebounds,num
players_teams,playerID,string
players_teams,points,num
players_teams,rebounds,num
players_teams,steals,num
players_teams,stint,num
players_teams,threeAttempted,num
players_teams,threeMade,num
players_teams,tmID,string
players_teams,turnovers,num
players_teams,year,string
series_post,L,num
series_post,W,num
series_post,id,num
series_post,lgIDLoser,string
series_post,lgIDWinner,string
series_post,round,string
series_post,series,string
series_post,tmIDLoser,string
series_post,tmIDWinner,string
series_post,year,num
teams,arena,string
teams,awayLost,num
teams,awayWon,num
teams,confID,string
teams,d_pts,num
teams,divID,string
teams,franchID,string
teams,games,num
teams,homeLost,num
teams,homeWon,num
teams,lgID,string
teams,lost,num
teams,name,string
teams,o_fgm,num
teams,o_ftm,string
teams,o_pts,num
teams,playoff,string
teams,rank,num
teams,tmID,string
teams,won,num
teams,year,string
