table_name,column_name,column_type
Institution,Institution_id,string
Institution,Institution,string
Institution,Location,string
Institution,Founded,num
Institution,Type,string
Institution,Enrollment,num
Institution,Team,string
Institution,Primary_Conference,string
Institution,building_id,string
building,building_id,string
building,Name,string
building,Street_address,string
building,Years_as_tallest,string
building,Height_feet,num
building,Floors,num
protein,common_name,string
protein,protein_name,string
protein,divergence_from_human_lineage,num
protein,accession_number,string
protein,sequence_length,num
protein,sequence_identity_to_human_protein,string
protein,Institution_id,string
