table_name,column_name,column_type
Attributes,attribute_id,num
Attributes,attribute_name,string
Business,active,boolean
Business,business_id,num
Business,city,string
Business,review_count,num
Business,stars,num
Business,state,string
Business_Attributes,attribute_id,num
Business_Attributes,attribute_value,string
Business_Attributes,business_id,num
Business_Categories,business_id,num
Business_Categories,category_id,num
Business_Hours,business_id,num
Business_Hours,closing_time,string
Business_Hours,day_id,num
Business_Hours,opening_time,string
Categories,category_id,num
Categories,category_name,string
Checkins,business_id,num
Checkins,day_id,num
Checkins,label_time_0,string
Compliments,compliment_id,num
Compliments,compliment_type,string
Days,day_id,num
Days,day_of_week,string
Elite,user_id,num
Elite,year_id,num
Reviews,business_id,num
Reviews,review_length,string
Reviews,review_stars,num
Reviews,review_votes_cool,string
Reviews,review_votes_funny,num
Reviews,review_votes_useful,num
Reviews,user_id,string
Tips,business_id,num
Tips,likes,num
Tips,tip_length,string
Tips,user_id,num
Users,user_average_stars,num
Users,user_fans,num
Users,user_id,num
Users,user_review_count,string
Users,user_votes_cool,string
Users,user_votes_funny,num
Users,user_votes_useful,string
Users,user_yelping_since_year,string
Users_Compliments,compliment_id,num
Users_Compliments,number_of_compliments,num
Users_Compliments,user_id,num
Years,actual_year,num
Years,year_id,num
