table_name,column_name,column_type
auth_user,id,num
auth_user,password,string
auth_user,last_login,date
auth_user,is_superuser,num
auth_user,username,string
auth_user,first_name,string
auth_user,last_name,string
auth_user,email,string
auth_user,is_staff,num
auth_user,is_active,num
auth_user,date_joined,date
push_notifications_apnsdevice,id,num
push_notifications_apnsdevice,name,string
push_notifications_apnsdevice,active,num
push_notifications_apnsdevice,date_created,date
push_notifications_apnsdevice,device_id,string
push_notifications_apnsdevice,registration_id,string
push_notifications_apnsdevice,user_id,num
push_notifications_apnsdevice,application_id,string
push_notifications_gcmdevice,id,num
push_notifications_gcmdevice,name,string
push_notifications_gcmdevice,active,num
push_notifications_gcmdevice,date_created,date
push_notifications_gcmdevice,device_id,num
push_notifications_gcmdevice,registration_id,string
push_notifications_gcmdevice,user_id,num
push_notifications_gcmdevice,cloud_message_type,string
push_notifications_gcmdevice,application_id,string
push_notifications_webpushdevice,id,num
push_notifications_webpushdevice,name,string
push_notifications_webpushdevice,active,num
push_notifications_webpushdevice,date_created,date
push_notifications_webpushdevice,application_id,string
push_notifications_webpushdevice,registration_id,string
push_notifications_webpushdevice,p256dh,string
push_notifications_webpushdevice,auth,string
push_notifications_webpushdevice,browser,string
push_notifications_webpushdevice,user_id,num
push_notifications_wnsdevice,id,num
push_notifications_wnsdevice,name,string
push_notifications_wnsdevice,active,num
push_notifications_wnsdevice,date_created,date
push_notifications_wnsdevice,device_id,string
push_notifications_wnsdevice,registration_id,string
push_notifications_wnsdevice,user_id,num
push_notifications_wnsdevice,application_id,string
