table_name,column_name,column_type
manager,Manager_ID,num
manager,Name,string
manager,Country,string
manager,Working_year_starts,string
manager,Age,num
manager,Level,num
railway,Railway_ID,num
railway,Railway,string
railway,Builder,string
railway,Built,string
railway,Wheels,string
railway,Location,string
railway,ObjectNumber,string
railway_manage,Railway_ID,num
railway_manage,Manager_ID,num
railway_manage,From_Year,string
train,Train_ID,num
train,Train_Num,string
train,Name,string
train,From,string
train,Arrival,string
train,Railway_ID,num
