table_name,column_name,column_type
Other_Available_Features,feature_id,num
Other_Available_Features,feature_type_code,string
Other_Available_Features,feature_name,string
Other_Available_Features,feature_description,string
Other_Property_Features,property_id,num
Other_Property_Features,feature_id,num
Other_Property_Features,property_feature_description,string
Properties,property_id,num
Properties,property_type_code,string
Properties,date_on_market,date
Properties,date_sold,date
Properties,property_name,string
Properties,property_address,string
Properties,room_count,num
Properties,vendor_requested_price,others
Properties,buyer_offered_price,others
Properties,agreed_selling_price,others
Properties,apt_feature_1,string
Properties,apt_feature_2,string
Properties,apt_feature_3,string
Properties,fld_feature_1,string
Properties,fld_feature_2,string
Properties,fld_feature_3,string
Properties,hse_feature_1,string
Properties,hse_feature_2,string
Properties,hse_feature_3,string
Properties,oth_feature_1,string
Properties,oth_feature_2,string
Properties,oth_feature_3,string
Properties,shp_feature_1,string
Properties,shp_feature_2,string
Properties,shp_feature_3,string
Properties,other_property_details,string
Ref_Feature_Types,feature_type_code,string
Ref_Feature_Types,feature_type_name,string
Ref_Property_Types,property_type_code,string
Ref_Property_Types,property_type_description,string
