table_name,column_name,column_type
Addresses,address_id,num
Addresses,line_1_number_building,string
Addresses,line_2_number_street,string
Addresses,line_3_area_locality,string
Addresses,town_city,string
Addresses,zip_postcode,string
Addresses,county_state_province,string
Addresses,country,string
Addresses,other_address_details,string
Features,feature_id,num
Features,feature_name,string
Features,feature_description,string
Properties,property_id,num
Properties,property_address_id,num
Properties,owner_user_id,num
Properties,property_type_code,string
Properties,date_on_market,date
Properties,date_off_market,date
Properties,property_name,string
Properties,property_description,string
Properties,garage_yn,string
Properties,parking_lots,string
Properties,room_count,string
Properties,vendor_requested_price,num
Properties,price_min,num
Properties,price_max,num
Properties,other_property_details,string
Property_Features,property_id,num
Property_Features,feature_id,num
Property_Features,feature_value,string
Property_Features,property_feature_description,string
Property_Photos,property_id,num
Property_Photos,photo_seq,num
Property_Photos,photo_title,string
Property_Photos,photo_description,string
Property_Photos,photo_filename,string
Ref_Age_Categories,age_category_code,string
Ref_Age_Categories,age_category_description,string
Ref_Property_Types,property_type_code,string
Ref_Property_Types,property_type_description,string
Ref_Room_Types,room_type_code,string
Ref_Room_Types,room_type_description,string
Ref_User_Categories,user_category_code,string
Ref_User_Categories,user_category_description,string
Rooms,property_id,num
Rooms,room_number,string
Rooms,room_type_code,string
Rooms,room_size,string
Rooms,other_room_details,string
User_Property_History,user_id,num
User_Property_History,property_id,num
User_Property_History,datestamp,date
User_Searches,user_id,num
User_Searches,search_seq,num
User_Searches,search_datetime,date
User_Searches,search_string,string
Users,user_id,num
Users,age_category_code,string
Users,user_category_code,string
Users,user_address_id,num
Users,is_buyer,string
Users,is_seller,string
Users,login_name,string
Users,password,string
Users,date_registered,date
Users,first_name,string
Users,middle_name,string
Users,last_name,string
Users,other_user_details,string
