table_name,column_name,column_type
ticketit_statuses,id,num
ticketit_statuses,name,string
ticketit_statuses,color,num
ticketit_priorities,id,num
ticketit_priorities,name,string
ticketit_priorities,color,num
ticketit_categories,id,num
ticketit_categories,name,string
ticketit_categories,color,num
ticketit_categories_users,category_id,num
ticketit_categories_users,user_id,num
ticketit,id,num
ticketit,subject,string
ticketit,content,string
ticketit,html,string
ticketit,status_id,num
ticketit,priority_id,num
ticketit,user_id,num
ticketit,agent_id,num
ticketit,category_id,num
ticketit,created_at,date
ticketit,updated_at,num
ticketit,completed_at,date
ticketit_comments,id,num
ticketit_comments,content,string
ticketit_comments,user_id,num
ticketit_comments,ticket_id,num
ticketit_comments,created_at,num
ticketit_comments,updated_at,date
ticketit_comments,content,string
ticketit_comments,html,string
ticketit_audits,id,num
ticketit_audits,operation,string
ticketit_audits,user_id,num
ticketit_audits,ticket_id,num
ticketit_audits,created_at,date
ticketit_audits,updated_at,date
users,id,num
users,ticketit_admin,boolean
users,ticketit_agent,boolean
ticketit_settings,id,num
ticketit_settings,lang,string
ticketit_settings,slug,string
ticketit_settings,value,string
ticketit_settings,default,string
ticketit_settings,created_at,date
ticketit_settings,updated_at,date
