table_name,column_name,column_type
Categories,CategoryID,num
Categories,CategoryName,string
Categories,Description,string
Categories,Picture,binary
Customers,Address,string
Customers,City,string
Customers,ContactName,string
Customers,ContactTitle,string
Customers,Country,string
Customers,CustomerName,string
Customers,Fax,string
Customers,Phone,string
Customers,PostalCode,string
Customers,Region,string
Employees,Address,string
Employees,BirthDate,date
Employees,City,string
Employees,Country,string
Employees,EmployeeID,num
Employees,Extension,string
Employees,FirstName,string
Employees,HireDate,date
Employees,HomePhone,string
Employees,LastName,string
Employees,Notes,string
Employees,Photo,binary
Employees,PhotoPath,string
Employees,PostalCode,string
Employees,Region,string
Employees,ReportsTo,num
Employees,Salary,num
Employees,Title,string
Employees,TitleOfCourtesy,string
OrderDetails,Discount,num
OrderDetails,OrderID,num
OrderDetails,ProductID,num
OrderDetails,Quantity,num
OrderDetails,UnitPrice,num
Orders,EmployeeID,num
Orders,Freight,num
Orders,OrderDate,date
Orders,OrderID,num
Orders,RequiredDate,date
Orders,ShipAddress,string
Orders,ShipCity,string
Orders,ShipCountry,string
Orders,ShipName,string
Orders,ShipPostalCode,string
Orders,ShipRegion,string
Orders,ShipVia,num
Orders,ShippedDate,date
Orders,ShipperID,num
Products,CategoryID,num
Products,Price,num
Products,ProductID,num
Products,ProductName,string
Products,QuantityPerUnit,string
Products,SupplierID,num
Products,Unit,string
Shippers,Phone,string
Shippers,ShipperID,num
Shippers,ShipperName,string
Suppliers,Address,string
Suppliers,City,string
Suppliers,ContactName,string
Suppliers,ContactTitle,string
Suppliers,Country,string
Suppliers,Fax,string
Suppliers,HomePage,string
Suppliers,Phone,string
Suppliers,PostalCode,string
Suppliers,Region,string
Suppliers,SupplierID,num
Suppliers,SupplierName,string
