table_name,column_name,column_type
customer,c_acctbal,num
customer,c_address,string
customer,c_comment,string
customer,c_custkey,num
customer,c_mktsegment,string
customer,c_name,string
customer,c_nationkey,num
customer,c_phone,string
lineitem,l_comment,string
lineitem,l_commitdate,date
lineitem,l_discount,num
lineitem,l_extendedprice,string
lineitem,l_linenumber,num
lineitem,l_linestatus,string
lineitem,l_orderkey,num
lineitem,l_partkey,num
lineitem,l_quantity,num
lineitem,l_receiptdate,date
lineitem,l_returnflag,string
lineitem,l_shipdate,date
lineitem,l_shipinstruct,string
lineitem,l_shipmode,string
lineitem,l_suppkey,num
lineitem,l_tax,string
nation,n_comment,string
nation,n_name,string
nation,n_nationkey,num
nation,n_regionkey,num
orders,o_clerk,string
orders,o_comment,string
orders,o_custkey,num
orders,o_orderdate,date
orders,o_orderkey,num
orders,o_orderpriority,string
orders,o_orderstatus,string
orders,o_shippriority,num
orders,o_totalprice,num
part,p_brand,string
part,p_comment,string
part,p_container,string
part,p_mfgr,string
part,p_name,string
part,p_partkey,num
part,p_retailprice,num
part,p_size,num
part,p_type,string
partsupp,ps_availqty,num
partsupp,ps_comment,string
partsupp,ps_partkey,num
partsupp,ps_suppkey,num
partsupp,ps_supplycost,num
region,r_comment,string
region,r_name,string
region,r_regionkey,num
supplier,s_acctbal,num
supplier,s_address,string
supplier,s_comment,string
supplier,s_name,string
supplier,s_nationkey,num
supplier,s_phone,string
supplier,s_suppkey,num
