table_name,column_name,column_type
club,Club_ID,num
club,Club_name,string
club,Region,string
club,Start_year,num
coach,Coach_ID,num
coach,Coach_name,string
coach,Gender,string
coach,Club_ID,num
coach,Rank,num
match_result,Rank,num
match_result,Club_ID,num
match_result,Gold,num
match_result,Big_Silver,num
match_result,Small_Silver,num
match_result,Bronze,num
match_result,Points,num
player,Player_ID,num
player,Sponsor_name,string
player,Player_name,string
player,Gender,string
player,Residence,string
player,Occupation,string
player,Votes,num
player,Rank,string
player_coach,Player_ID,num
player_coach,Coach_ID,num
player_coach,Starting_year,num
