table_name,column_name,column_type
robots_rule,id,num
robots_rule,robot,string
robots_rule,crawl_delay,num
django_site,id,num
django_site,domain,string
django_site,name,string
robots_rule_allowed,id,num
robots_rule_allowed,rule_id,num
robots_rule_allowed,url_id,num
robots_rule_disallowed,id,num
robots_rule_disallowed,rule_id,num
robots_rule_disallowed,url_id,num
robots_rule_sites,id,num
robots_rule_sites,rule_id,num
robots_rule_sites,site_id,num
robots_url,id,num
robots_url,pattern,string
