table_name,column_name,column_type
relation,station_nbr,num
relation,store_nbr,num
sales_in_weather,date,date
sales_in_weather,item_nbr,num
sales_in_weather,store_nbr,num
sales_in_weather,units,num
weather,avgspeed,num
weather,codesum,string
weather,cool,num
weather,date,date
weather,depart,num
weather,dewpoint,num
weather,heat,num
weather,preciptotal,num
weather,resultdir,num
weather,resultspeed,num
weather,sealevel,num
weather,snowfall,num
weather,station_nbr,num
weather,stnpressure,num
weather,sunrise,string
weather,sunset,string
weather,tavg,num
weather,tmax,num
weather,tmin,num
weather,wetbulb,num
