table_name,column_name,column_type
author,authorId,num
author,authorName,string
cite,citingPaperId,num
cite,citedPaperId,num
dataset,datasetId,num
dataset,datasetName,string
journal,journalId,num
journal,journalName,string
keyphrase,keyphraseId,num
keyphrase,keyphraseName,string
paper,paperId,num
paper,title,string
paper,venueId,num
paper,year,num
paper,numCiting,num
paper,numCitedBy,num
paper,journalId,num
paperDataset,paperId,num
paperDataset,datasetId,num
paperKeyphrase,paperId,num
paperKeyphrase,keyphraseId,num
venue,venueId,num
venue,venueName,string
writes,paperId,num
writes,authorId,num
