table_name,column_name,column_type
account_sectors,id,num
account_sectors,name,string
account_sectors,type,string
account_sectors,school_id,num
account_sectors,user_id,num
account_sectors,created_at,date
account_sectors,updated_at,date
accounts,id,num
accounts,name,string
accounts,type,string
accounts,amount,num
accounts,description,string
accounts,school_id,num
accounts,user_id,num
accounts,created_at,date
accounts,updated_at,date
attendances,id,num
attendances,student_id,num
attendances,section_id,num
attendances,exam_id,num
attendances,present,num
attendances,user_id,num
attendances,created_at,date
attendances,updated_at,date
books,id,num
books,book_code,string
books,title,string
books,author,string
books,quantity,num
books,rackNo,string
books,rowNo,string
books,img_path,string
books,about,string
books,type,string
books,price,num
books,class_id,num
books,school_id,num
books,user_id,num
books,created_at,date
books,updated_at,date
classes,id,num
classes,class_number,string
classes,school_id,num
classes,group,string
classes,created_at,date
classes,updated_at,date
courses,id,num
courses,course_name,string
courses,class_id,num
courses,course_type,string
courses,course_time,string
courses,grade_system_name,string
courses,quiz_count,num
courses,assignment_count,num
courses,ct_count,num
courses,quiz_percent,num
courses,attendance_percent,num
courses,assignment_percent,num
courses,ct_percent,num
courses,final_exam_percent,num
courses,practical_percent,num
courses,att_fullmark,num
courses,quiz_fullmark,num
courses,a_fullmark,num
courses,ct_fullmark,num
courses,final_fullmark,num
courses,practical_fullmark,num
courses,school_id,num
courses,exam_id,num
courses,teacher_id,num
courses,section_id,num
courses,user_id,num
courses,created_at,date
courses,updated_at,date
departments,id,num
departments,school_id,num
departments,department_name,string
departments,created_at,date
departments,updated_at,date
events,id,num
events,file_path,string
events,title,string
events,description,string
events,active,num
events,school_id,num
events,user_id,num
events,created_at,date
events,updated_at,date
exam_for_classes,id,num
exam_for_classes,class_id,num
exam_for_classes,exam_id,num
exam_for_classes,active,num
exams,id,num
exams,exam_name,string
exams,active,num
exams,notice_published,num
exams,result_published,num
exams,school_id,num
exams,user_id,num
exams,created_at,date
exams,updated_at,date
exams,term,string
exams,start_date,string
exams,end_date,string
faqs,id,num
faqs,question,string
faqs,answer,string
faqs,user_id,num
faqs,created_at,date
faqs,updated_at,date
feedbacks,id,num
feedbacks,description,string
feedbacks,teacher_id,num
feedbacks,student_id,num
feedbacks,created_at,date
feedbacks,updated_at,date
fees,id,num
fees,fee_name,string
fees,school_id,num
fees,user_id,num
fees,created_at,date
fees,updated_at,date
forms,id,num
forms,name,string
forms,file_path,string
forms,school_id,num
forms,user_id,num
forms,created_at,date
forms,updated_at,date
grade_systems,id,num
grade_systems,grade_system_name,string
grade_systems,grade,string
grade_systems,point,num
grade_systems,from_mark,num
grade_systems,to_mark,num
grade_systems,school_id,num
grade_systems,user_id,num
grade_systems,created_at,date
grade_systems,updated_at,date
grades,id,num
grades,marks,num
grades,gpa,num
grades,attendance,num
grades,quiz1,num
grades,quiz2,num
grades,quiz3,num
grades,quiz4,num
grades,quiz5,num
grades,ct1,num
grades,ct2,num
grades,ct3,num
grades,ct4,num
grades,ct5,num
grades,assignment1,num
grades,assignment2,num
grades,assignment3,num
grades,written,num
grades,mcq,num
grades,practical,num
grades,exam_id,num
grades,student_id,num
grades,teacher_id,num
grades,course_id,num
grades,user_id,num
grades,created_at,date
grades,updated_at,date
homeworks,id,num
homeworks,file_path,string
homeworks,description,string
homeworks,teacher_id,num
homeworks,section_id,num
homeworks,created_at,date
homeworks,updated_at,date
issued_books,id,num
issued_books,student_code,num
issued_books,book_id,num
issued_books,quantity,num
issued_books,school_id,num
issued_books,issue_date,date
issued_books,return_date,date
issued_books,fine,num
issued_books,borrowed,num
issued_books,user_id,num
issued_books,created_at,date
issued_books,updated_at,date
messages,id,num
messages,phone_number,string
messages,email,string
messages,message,string
messages,school_id,num
messages,user_id,num
messages,created_at,date
messages,updated_at,date
migrations,id,num
migrations,migration,string
migrations,batch,num
notices,id,num
notices,file_path,string
notices,title,string
notices,description,string
notices,active,num
notices,school_id,num
notices,user_id,num
notices,created_at,date
notices,updated_at,date
notifications,id,num
notifications,sent_status,num
notifications,active,num
notifications,message,string
notifications,student_id,num
notifications,user_id,num
notifications,created_at,date
notifications,updated_at,date
oauth_access_tokens,id,string
oauth_access_tokens,user_id,num
oauth_access_tokens,client_id,num
oauth_access_tokens,name,string
oauth_access_tokens,scopes,string
oauth_access_tokens,revoked,num
oauth_access_tokens,created_at,date
oauth_access_tokens,updated_at,date
oauth_access_tokens,expires_at,date
oauth_auth_codes,id,string
oauth_auth_codes,user_id,num
oauth_auth_codes,client_id,num
oauth_auth_codes,scopes,string
oauth_auth_codes,revoked,num
oauth_auth_codes,expires_at,date
oauth_clients,id,num
oauth_clients,user_id,num
oauth_clients,name,string
oauth_clients,secret,string
oauth_clients,redirect,string
oauth_clients,personal_access_client,num
oauth_clients,password_client,num
oauth_clients,revoked,num
oauth_clients,created_at,date
oauth_clients,updated_at,date
oauth_personal_access_clients,id,num
oauth_personal_access_clients,client_id,num
oauth_personal_access_clients,created_at,date
oauth_personal_access_clients,updated_at,date
oauth_refresh_tokens,id,string
oauth_refresh_tokens,access_token_id,string
oauth_refresh_tokens,revoked,num
oauth_refresh_tokens,expires_at,date
password_resets,email,string
password_resets,token,string
password_resets,created_at,date
payments,id,num
payments,payment_id,string
payments,payment_status,num
payments,amount,num
payments,custormer_id,num
payments,charge_for,string
payments,created_at,date
payments,updated_at,date
routines,id,num
routines,file_path,string
routines,title,string
routines,description,string
routines,active,num
routines,school_id,num
routines,user_id,num
routines,created_at,date
routines,updated_at,date
routines,section_id,num
schools,id,num
schools,name,string
schools,established,string
schools,about,string
schools,medium,string
schools,code,num
schools,theme,string
schools,created_at,date
schools,updated_at,date
sections,id,num
sections,section_number,string
sections,room_number,num
sections,class_id,num
sections,user_id,num
sections,created_at,date
sections,updated_at,date
student_board_exams,id,num
student_board_exams,student_id,num
student_board_exams,exam_name,string
student_board_exams,group,string
