table_name,column_name,column_type
School,School_id,string
School,School_name,string
School,Location,string
School,Mascot,string
School,Enrollment,num
School,IHSAA_Class,string
School,IHSAA_Football_Class,string
School,County,string
budget,School_id,num
budget,Year,num
budget,Budgeted,num
budget,total_budget_percent_budgeted,num
budget,Invested,num
budget,total_budget_percent_invested,num
budget,Budget_invested_percent,string
endowment,endowment_id,num
endowment,School_id,num
endowment,donator_name,string
endowment,amount,num
