table_name,column_name,column_type
player,Player_ID,num
player,Player,string
player,Team,string
player,Age,num
player,Position,string
player,School_ID,num
school,School_ID,num
school,School,string
school,Location,string
school,Enrollment,num
school,Founded,num
school,Denomination,string
school,Boys_or_Girls,string
school,Day_or_Boarding,string
school,Year_Entered_Competition,num
school,School_Colors,string
school_details,School_ID,num
school_details,Nickname,string
school_details,Colors,string
school_details,League,string
school_details,Class,string
school_details,Division,string
school_performance,School_Id,num
school_performance,School_Year,string
school_performance,Class_A,string
school_performance,Class_AA,string
