table_name,column_name,column_type
api_keys,id,num
api_keys,name,string
api_keys,user_id,num
api_keys,created_at,date
api_keys,updated_at,date
api_log,id,num
api_log,user_id,num
api_log,api_key_id,num
api_log,images,string
api_log,created_at,date
api_log,updated_at,date
migrations,id,num
migrations,migration,string
migrations,batch,num
password_resets,email,string
password_resets,token,string
password_resets,created_at,date
users,id,num
users,email,string
users,token,string
users,provider,string
users,provider_id,string
users,created_at,date
users,updated_at,date
users,name,string
users,password,string
users,remember_token,string
