table_name,column_name,column_type
checks,id,num
checks,host_id,num
checks,type,string
checks,status,string
checks,enabled,boolean
checks,last_run_message,string
checks,last_run_output,string
checks,last_ran_at,date
checks,next_run_in_minutes,num
checks,started_throttling_failing_notifications_at,date
checks,custom_properties,string
checks,created_at,date
checks,updated_at,date
hosts,id,num
hosts,name,string
hosts,ssh_user,string
hosts,port,num
hosts,ip,string
hosts,custom_properties,string
hosts,created_at,date
hosts,updated_at,date
