table_name,column_name,column_type
city,area,string
city,city_id,num
city,city_name,string
city,population,num
city,state,string
customer,address,string
customer,annual_revenue,num
customer,city,string
customer,cust_id,num
customer,cust_name,string
customer,cust_type,string
customer,phone,string
customer,state,string
customer,zip,num
driver,address,string
driver,city,string
driver,driver_id,num
driver,first_name,string
driver,last_name,string
driver,phone,string
driver,state,string
driver,zip_code,num
shipment,city_id,num
shipment,cust_id,num
shipment,driver_id,num
shipment,ship_date,date
shipment,ship_id,num
shipment,truck_id,num
shipment,weight,num
truck,make,string
truck,model_year,num
truck,truck_id,num
