table_name,column_name,column_type
incidents,case_number,num
incidents,date,date
incidents,location,string
incidents,officers,string
incidents,subject_count,num
incidents,subject_statuses,num
incidents,subject_weapon,string
incidents,subjects,string
officers,case_number,num
officers,first_name,string
officers,full_name,string
officers,gender,boolean
officers,last_name,string
officers,race,string
subjects,case_number,num
subjects,first_name,string
subjects,full_name,string
subjects,gender,boolean
subjects,last_name,string
subjects,race,string
