table_name,column_name,column_type
branch,Branch_ID,num
branch,Name,string
branch,Open_year,string
branch,Address_road,string
branch,City,string
branch,membership_amount,string
member,Member_ID,num
member,Card_Number,string
member,Name,string
member,Hometown,string
member,Level,num
membership_register_branch,Member_ID,num
membership_register_branch,Branch_ID,string
membership_register_branch,Register_Year,string
purchase,Member_ID,num
purchase,Branch_ID,string
purchase,Year,string
purchase,Total_pounds,num
